Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-5166723.450000007,-5166723.450000007,-5166723.450000007,-5166723.450000007,-5166723.450000007
vector sum y,-2336205.3799999882,-2336205.3799999882,-2336205.3799999882,-2336205.3799999882,-2336205.3799999882
vector sum z,443309.5199999987,443309.5199999987,443309.5199999987,443309.5199999987,443309.5199999987
vector sum norm,5687654.1840062225,5687654.1840062225,5687654.1840062225,5687654.1840062225,5687654.1840062225
total N,8589.0,8589.0,8589.0,8589.0,8589.0
mean,2149.2748538011697,1255.2105263157894,577.6812865497076,323.83040935672517,210.453216374269
median,2280.5,1365.0,631.0,353.0,230.0
variance,63541.98293492015,35367.265620190825,12341.521228754147,4994.105741937689,2473.5928405321297
stdev,252.07535170047893,188.0618664700285,111.09239950939104,70.6689871296999,49.735227359811375
normalized stdev,0.117283906827767,0.14982495965996653,0.19230742296138392,0.21822838463528094,0.23632438703793665
skewness,-0.8690632861566879,-1.4055276832392471,-2.012981373793952,-2.3045812591127017,-2.423734163790568
kurtosis,-0.6849564183245409,0.8001898915339707,3.158234320254068,4.474559059632778,4.924197718437456
bowley skewness,-0.5862913096695227,-0.816933638443936,-0.7728937728937729,-0.36363636363636365,-0.23076923076923078
moors kurtosis,1.9235006119951041,2.2437070938215102,3.098901098901099,5.840909090909091,6.3076923076923075
