Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7572,7572,7572,7572,7572
mean,1898.14035087719,1107.99415204678,510.038011695907,286.166666666667,186.219298245614
median,1916,1132.5,522,295.5,191.5
variance,25250.4188981225,14491.9999658014,5688.67984166068,2609.02192982456,1385.72091412742
stdev,158.903803913319,120.382722870857,75.4233375134029,51.0785858244388,37.2252725191828
normalized stdev,0.0837155186337428,0.108649240294703,0.147877875342302,0.178492437359716,0.199900186875822
skewness,-0.192102516599366,-0.577096958651044,-0.736461387683254,-0.912175655898685,-1.03941355201796
kurtosis,-1.13548653241951,-0.517481281177148,-0.0372228044161042,0.620942569001189,1.1116489362635
vector sum norm,423.648855921333,423.648855921333,423.648855921333,423.648855921333,423.648855921333
