Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,6111186.349999998,6111186.349999998,6111186.349999998,6111186.349999998,6111186.349999998
vector sum y,-17679517.019999985,-17679517.019999985,-17679517.019999985,-17679517.019999985,-17679517.019999985
vector sum z,371316.50999999954,371316.50999999954,371316.50999999954,371316.50999999954,371316.50999999954
vector sum norm,18709617.757065322,18709617.757065322,18709617.757065322,18709617.757065322,18709617.757065322
total N,3889.0,3889.0,3889.0,3889.0,3889.0
mean,971.6549707602339,566.6286549707602,260.87134502923976,146.28070175438597,95.03801169590643
median,889.5,452.0,173.5,73.0,34.5
variance,564133.9686741219,257036.01122567625,68771.59748298622,23975.30132348415,10601.785104818575
stdev,751.0885225285512,506.98719039604566,262.24339359264366,154.83959869324173,102.96497028027821
normalized stdev,0.7729992076723396,0.8947432960696415,1.0052594836096318,1.0585100894117028,1.0834082957220916
skewness,0.2789157690728566,0.33735243461470177,0.36266818219089664,0.3733953942049882,0.37588476266160026
kurtosis,-1.2244287119854822,-1.4069531908583752,-1.5813975422949738,-1.6575274353747698,-1.6977197460942215
bowley skewness,0.06437768240343347,0.1875937968984492,0.3800803930326038,0.5755813953488372,0.6933333333333334
moors kurtosis,1.9930957268147043,1.868184092046023,1.7545779365788299,1.6573401162790697,1.6683333333333332
