Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7261,7261,7261,7261,7261
mean,1819.36257309942,1061.21929824561,488.289473684211,273.552631578947,178.084795321637
median,1933.5,1149,534,300,195
variance,105358.482575835,52952.6214989228,16670.3401815943,6719.22968605725,3208.9489501043
stdev,324.589714217557,230.114366128938,129.113671551832,81.9709075590679,56.6475855628844
normalized stdev,0.178408481639036,0.216839598101314,0.264420345942852,0.299653149326078,0.318093329981224
skewness,-0.588700823637087,-0.843898820763321,-1.18774241551668,-1.3561379793857,-1.42058232260405
kurtosis,-1.01816750066656,-0.55576700386813,0.570010210945838,1.14595528176722,1.28630028773119
vector sum norm,916.237906326353,916.237906326353,916.237906326353,916.237906326353,916.237906326353
