Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,28215.919999992588,28215.919999992588,28215.919999992588,28215.919999992588,28215.919999992588
vector sum y,96152.46000000517,96152.46000000517,96152.46000000517,96152.46000000517,96152.46000000517
vector sum z,-102436.76999999429,-102436.76999999429,-102436.76999999429,-102436.76999999429,-102436.76999999429
vector sum norm,143299.42621493744,143299.42621493744,143299.42621493744,143299.42621493744,143299.42621493744
total N,6889.0,6889.0,6889.0,6889.0,6889.0
mean,1727.3567251461989,1009.985380116959,465.4356725146199,261.3859649122807,170.06432748538012
median,1733.0,1016.0,467.0,262.0,170.0
variance,676.3113436612974,727.9968622824118,310.6844584658527,146.0030778701139,80.63328887520946
stdev,26.005986688862574,26.981416980625976,17.626243458713848,12.083173336094864,8.97960404891048
normalized stdev,0.015055365409053823,0.02671466093647955,0.03787041797523628,0.04622732264966825,0.052801220465723046
skewness,-0.5296872114224586,-0.6565097372126624,-0.48814062744440134,-0.26426941915448177,-0.5821820612099782
kurtosis,-0.6174440446395071,-0.4301619735078299,-0.06849529097665075,0.2783612436094365,3.791341558500732
bowley skewness,-0.2682926829268293,-0.2571428571428571,-0.08333333333333333,-0.06666666666666667,-0.09090909090909091
moors kurtosis,2.0365853658536586,2.3642857142857143,2.1145833333333335,2.2666666666666666,2.3636363636363638
