Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7695,7695,7695,7695,7695
mean,1930.83333333333,1127.33918128655,519.748538011696,291.657894736842,190.22514619883
median,1979,1171,540,305,199
variance,32959.600877193,18870.3878800315,6971.18822885674,3108.04378270237,1555.81773024178
stdev,181.547792267472,137.369530391683,83.49364184689,55.7498321316071,39.4438554180722
normalized stdev,0.0940256153305851,0.121852883916368,0.160642379421202,0.191148030407026,0.207353529258661
skewness,-0.422572454428545,-0.665447335999111,-0.971146243346881,-1.14191517871474,-1.26794711520256
kurtosis,-1.21434362851223,-0.740492899138644,0.167186705903477,0.764759927396725,1.25125743786537
vector sum norm,474.466800758502,474.466800758502,474.466800758502,474.466800758502,474.466800758502
