Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,6290,6290,6290,6290,6290
mean,1576.25730994152,919.821637426901,423.701754385965,237.885964912281,154.786549707602
median,1565.5,937,458,264.5,176.5
variance,90222.6940255121,57297.3570756814,22484.8467220683,9423.17120652508,4577.17958517151
stdev,300.370927397297,239.36866352069,149.949480566184,97.07301997221,67.6548563310241
normalized stdev,0.190559577743332,0.260233782051809,0.353903374281499,0.408065351850435,0.437084853036822
skewness,-0.0384825229588066,-0.565547937626342,-0.867753334768672,-0.882474716022571,-0.869439992467468
kurtosis,-0.56213723584715,-0.172119606989722,0.0426352938454823,-0.17582598235676,-0.32971498071712
vector sum norm,758.186178120947,758.186178120947,758.186178120947,758.186178120947,758.186178120947
