Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7756,7756,7756,7756,7756
mean,1945.08771929825,1135.01754385965,523.502923976608,293.678362573099,191.722222222222
median,1960.5,1148,528,300,198
variance,17354.243767313,10730.0347799323,4176.67104408194,1940.62169556445,992.832196231319
stdev,131.735506858679,103.58588118046,64.6271695502901,44.052487961118,31.5092398548635
normalized stdev,0.0677272832230963,0.0912636828750803,0.123451401301395,0.150002497886282,0.164348396808909
skewness,-0.326603299021086,-0.394242111872345,-0.445472737958407,-0.538610113001405,-0.691283367009412
kurtosis,-1.13575272951468,-0.557989948894267,-0.283580808645479,-0.208597662092692,0.109319195795122
vector sum norm,336.892482883922,336.892482883922,336.892482883922,336.892482883922,336.892482883922
