Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7256,7256,7256,7256,7256
mean,1818.20467836257,1060.51754385965,487.938596491228,273.342105263158,177.953216374269
median,1933.5,1148.5,533.5,298.5,195
variance,104771.905475189,52739.4134349031,16632.8061711296,6709.13150200061,3206.71126158476
stdev,323.684886077785,229.650633430224,128.968237062967,81.9092882523137,56.6278311573449
normalized stdev,0.178024449023686,0.216545812711813,0.264312431913316,0.299658510983722,0.318217519812881
skewness,-0.590276794374114,-0.844741778398123,-1.1854329838395,-1.35276233021131,-1.41585384561048
kurtosis,-1.01512063280888,-0.550494698884212,0.572259225090019,1.14384606977173,1.27859632597655
vector sum norm,913.048627998209,913.048627998209,913.048627998209,913.048627998209,913.048627998209
