Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,7773,7773,7773,7773,7773
mean,1949.44152046784,1137.61988304094,524.71052631579,294.33918128655,192.166666666667
median,1966,1150,528,300,198
variance,16794.4688023665,10503.4052186998,4147.88988919668,1926.56916658117,984.50730994152
stdev,129.593475153522,102.486122078552,64.4041139151582,43.8927006070619,31.376859465879
normalized stdev,0.0664772314495597,0.0900881951927555,0.122742180088069,0.149122860283867,0.163279407454704
skewness,-0.300724798880973,-0.372846575984378,-0.443060734703588,-0.523968552293187,-0.679919267737991
kurtosis,-1.14291165178231,-0.588709041803865,-0.267193740547988,-0.222448410091917,0.0856550345092541
vector sum norm,327.717310482999,327.717310482999,327.717310482999,327.717310482999,327.717310482999
