Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-165421.57999996128,-165421.57999996128,-165421.57999996128,-165421.57999996128,-165421.57999996128
vector sum y,184291.9300000108,184291.9300000108,184291.9300000108,184291.9300000108,184291.9300000108
vector sum z,-521072.0399999971,-521072.0399999971,-521072.0399999971,-521072.0399999971,-521072.0399999971
vector sum norm,576926.2391871001,576926.2391871001,576926.2391871001,576926.2391871001,576926.2391871001
total N,8589.0,8589.0,8589.0,8589.0,8589.0
mean,2152.1081871345027,1258.1637426900584,579.9883040935673,325.46198830409355,211.81578947368422
median,2159.0,1264.0,582.0,327.0,212.0
variance,901.8567165965595,664.9614924250196,250.42091583735166,96.00878902910297,50.711680517082186
stdev,30.030929332882117,25.786847275791967,15.824693230434253,9.798407474130833,7.12121341606065
normalized stdev,0.013954191295962594,0.02049562103948215,0.027284504047311472,0.030106150107384422,0.03361984219285684
skewness,-0.8152887965380375,-1.4972754793343193,-1.5804780348355958,-1.2644854969879524,-2.250144286013251
kurtosis,-0.261587597056105,1.731311969600104,4.015708768665947,3.476162020860521,18.800070108771212
bowley skewness,-0.1292517006802721,-0.043478260869565216,-0.06666666666666667,-0.16666666666666666,0.1111111111111111
moors kurtosis,2.5952380952380953,2.391304347826087,2.3333333333333335,2.09375,2.0
