Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,8757,8757,8757,8757,8757
mean,2194.04970760234,1281.6783625731,590.657894736842,331.415204678363,215.716374269006
median,2204.5,1302,595,333,217.5
variance,5932.69051161041,3034.82637392702,1014.80986457372,455.219417940563,241.349381006122
stdev,77.023960633107,55.0892582444801,31.8560804960955,21.3358716236427,15.5354234253889
normalized stdev,0.0351058412059765,0.0429821239502575,0.0539332171464303,0.064378071139944,0.072017821910986
skewness,-0.351662691699757,-0.422354254588353,-0.335302418822436,-0.339325670574513,-0.510189400838685
kurtosis,-1.12769396429,-0.970367761662194,-0.601490001191322,-0.66322520751821,-0.350364020593513
vector sum norm,216.726961185412,216.726961185412,216.726961185412,216.726961185412,216.726961185412
