Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-2857444.5100000137,-2857444.5100000137,-2857444.5100000137,-2857444.5100000137,-2857444.5100000137
vector sum y,-1090238.3799999782,-1090238.3799999782,-1090238.3799999782,-1090238.3799999782,-1090238.3799999782
vector sum z,210325.90999999992,210325.90999999992,210325.90999999992,210325.90999999992,210325.90999999992
vector sum norm,3065590.618685333,3065590.618685333,3065590.618685333,3065590.618685333,3065590.618685333
total N,8989.0,8989.0,8989.0,8989.0,8989.0
mean,2248.9853801169593,1313.3567251461989,605.5292397660819,339.9502923976608,221.39766081871346
median,2304.0,1373.0,632.0,354.0,231.0
variance,20185.8857511713,12231.323039567727,4812.009378954208,2049.105716288773,1022.9471290311548
stdev,142.0770416047973,110.59531201442368,69.36864838638712,45.267048901919516,31.983544660202295
normalized stdev,0.06317383957267367,0.0842081286042926,0.1145587096887088,0.133157846644732,0.144461980952867
skewness,-0.9078771774312362,-1.624270838777919,-2.642768360390289,-3.331685257698544,-3.594948466115831
kurtosis,-0.732668563723216,1.527616488759147,6.759654549054897,11.735917885960335,13.6036868797921
bowley skewness,-0.42526071842410196,-0.7264957264957265,-0.43434343434343436,-0.2,-0.2
moors kurtosis,2.015063731170336,3.324786324786325,4.065656565656566,3.466666666666667,2.4
