Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
total N,6788,6788,6788,6788,6788
mean,1704.92397660819,996.187134502924,459.280701754386,257.459064327485,167.877192982456
median,1676,996,482,282.5,185
variance,40332.6141034848,31081.2047467597,13925.5586334257,6405.00271023563,3287.28901200369
stdev,200.829813781432,176.298623780107,118.006604194111,80.0312608312254,57.3348847736149
normalized stdev,0.117793999343576,0.176973399549148,0.256937867720858,0.310850429913108,0.341528731538933
skewness,0.203267861277708,-0.110869729749543,-0.551145110655658,-0.811229562325505,-0.973385428281717
kurtosis,-0.525927415312275,-1.00823775459895,-0.678741382376881,-0.25133860359246,0.0246126465479088
vector sum norm,351.835246128141,351.835246128141,351.835246128141,351.835246128141,351.835246128141
