timestamp,run_min,general_cov_thresh,panel_cov_thresh,crate_cov_thresh,,
2024-02-13 06:06:50.711247-05,309434,51.3525026624068,53.1291611185086,68.4210526315789,,absolute garbage
2024-02-13 06:06:54.254723-05,309439,51.384451544196,53.2623169107856,68.4210526315789,,absolute garbage
2024-02-12 10:16:17.311577-05,302640,53.0564430244941,54.5938748335553,63.1578947368421,,absolute garbage
2023-05-30 12:54:15.19747-04,309553,58.4664536741214,60.7190412782956,78.9473684210526,,
2023-05-30 12:54:15.093358-04,309546,58.4771033013844,60.7190412782956,78.9473684210526,,
2023-05-30 12:54:15.12213-04,309548,58.4877529286475,60.7190412782956,78.9473684210526,,
2024-02-13 06:21:59.083619-05,309504,58.4984025559105,60.7190412782956,78.9473684210526,,garbage
2023-05-30 12:54:14.999424-04,309539,58.5090521831736,60.7190412782956,78.9473684210526,,
2024-02-13 06:07:22.193676-05,309483,58.7326943556975,60.8521970705726,78.9473684210526,,
2024-02-13 06:07:10.64956-05,309469,58.7433439829606,60.8521970705726,78.9473684210526,,
2024-02-13 06:21:56.320105-05,309501,58.7752928647497,60.8521970705726,78.9473684210526,,garbage
2024-02-13 06:07:36.235956-05,309499,58.7859424920128,60.8521970705726,78.9473684210526,,
2024-02-13 06:07:00.589139-05,309456,58.9137380191693,61.1185086551265,78.9473684210526,,
2024-02-13 06:06:56.925796-05,309449,59.2119275825346,61.5179760319574,78.9473684210526,,
2024-02-13 06:06:56.032691-05,309448,59.2225772097977,61.5179760319574,78.9473684210526,,garbage
2023-05-30 12:54:15.619851-04,309597,59.9361022364217,62.3169107856192,78.9473684210526,,
2023-05-30 12:54:15.659399-04,309600,59.9787007454739,62.3169107856192,78.9473684210526,,
2023-05-30 12:54:15.469797-04,309579,60.010649627263,62.4500665778961,78.9473684210526,,
2023-05-30 12:54:15.483678-04,309581,60.0212992545261,62.4500665778961,78.9473684210526,,
2023-05-30 12:54:15.456307-04,309578,60.0638977635783,62.4500665778961,78.9473684210526,,
2024-02-06 13:43:34.655386-05,302159,60.5537806176784,63.115845539281,73.6842105263158,,bad crate coverage
2024-02-06 13:43:35.594841-05,302169,60.5963791267306,63.115845539281,73.6842105263158,,
2024-02-06 13:43:32.885736-05,302138,60.7667731629393,63.2490013315579,73.6842105263158,,
2024-02-06 13:43:33.52196-05,302145,60.7774227902023,63.2490013315579,73.6842105263158,,bad crate coverage
2024-02-06 13:43:31.553463-05,302121,60.8306709265176,63.3821571238349,73.6842105263158,,
2024-02-06 13:43:29.979666-05,302104,60.8413205537806,63.3821571238349,73.6842105263158,,
2024-02-06 13:43:30.90883-05,302114,60.8839190628328,63.3821571238349,73.6842105263158,,bad crate coverage
2024-02-26 03:31:44.339793-05,356781,61.2779552715655,63.2490013315579,78.9473684210526,,
2024-02-26 07:32:04.876366-05,356785,61.2886048988285,63.2490013315579,78.9473684210526,,
2024-02-26 01:31:48.549023-05,356779,61.2992545260916,63.2490013315579,78.9473684210526,,
2024-02-26 00:30:49.448197-05,356778,61.3099041533546,63.2490013315579,78.9473684210526,,
2024-02-25 13:29:31.320717-05,356767,61.3205537806177,63.2490013315579,78.9473684210526,,
2024-02-25 10:41:02.185701-05,356765,61.3844515441959,63.3821571238349,78.9473684210526,,
2024-02-28 19:12:43.83172-05,356857,61.4164004259851,63.6484687083888,78.9473684210526,,
2024-02-28 18:09:37.751717-05,356856,61.4589989350373,63.6484687083888,78.9473684210526,,
2024-02-23 04:51:24.504013-05,356707,61.5761448349308,63.5153129161119,78.9473684210526,,
2024-02-22 12:32:34.610899-05,356687,61.5867944621938,63.5153129161119,78.9473684210526,,
2024-02-23 10:27:03.226122-05,356711,61.5974440894569,63.5153129161119,78.9473684210526,,
2024-02-25 10:12:46.978698-05,356762,61.6080937167199,63.5153129161119,78.9473684210526,,
2024-02-28 05:53:30.367986-05,356839,61.6080937167199,64.0479360852197,78.9473684210526,,
2024-02-23 17:31:20.439555-05,356718,61.618743343983,63.5153129161119,78.9473684210526,,
2024-02-22 13:32:33.688779-05,356688,61.629392971246,63.5153129161119,78.9473684210526,,
2024-02-28 09:23:31.372528-05,356844,61.7145899893504,63.9147802929427,78.9473684210526,,
2024-01-02 05:38:19.582708-05,355269,61.7252396166134,63.5153129161119,78.9473684210526,,
2024-02-27 20:12:42.055848-05,356827,61.7571884984026,64.0479360852197,78.9473684210526,,
2024-01-03 07:28:32.479516-05,355294,61.7678381256656,63.5153129161119,78.9473684210526,,
2024-02-27 18:10:39.59451-05,356824,61.7678381256656,64.0479360852197,78.9473684210526,,
2024-02-28 01:17:02.967509-05,356832,61.7891373801917,64.0479360852197,78.9473684210526,,
2024-02-27 22:15:55.700256-05,356829,61.7997870074547,64.0479360852197,78.9473684210526,,
2024-01-01 05:30:30.630074-05,355242,62.0340788072417,63.7816245006658,84.2105263157895,,
2023-12-31 04:01:17.043095-05,355216,62.0447284345048,63.7816245006658,84.2105263157895,,
2024-02-12 10:34:56.619092-05,304332,63.1096911608094,65.6458055925433,78.9473684210526,,
2024-02-06 13:43:36.270471-05,302179,64.5473908413205,66.844207723036,78.9473684210526,,
2023-07-25 00:42:13.606268-04,350118,64.5686900958466,65.9121171770972,84.2105263157895,,
2024-02-20 15:31:10.229795-05,356629,64.8455804046858,66.4447403462051,84.2105263157895,,
2024-02-20 17:55:31.586157-05,356632,64.8668796592119,66.4447403462051,84.2105263157895,,
2024-02-20 18:52:20.105659-05,356633,64.888178913738,66.4447403462051,84.2105263157895,,
2024-02-21 12:08:37.486408-05,356653,64.9094781682641,66.4447403462051,84.2105263157895,,
2024-02-21 10:05:50.136445-05,356649,64.9307774227902,66.4447403462051,84.2105263157895,,
2024-02-29 20:20:43.814373-05,356885,65.1757188498403,66.9773635153129,84.2105263157895,,
2024-02-29 18:16:30.422577-05,356883,65.1863684771033,66.9773635153129,84.2105263157895,,
2024-02-29 13:07:42.882277-05,356878,65.2183173588924,66.9773635153129,84.2105263157895,,
2024-02-21 14:11:16.241317-05,356662,65.346112886049,66.9773635153129,84.2105263157895,,
2024-02-22 02:24:33.360089-05,356674,65.3674121405751,66.9773635153129,84.2105263157895,,
2024-02-21 14:17:42.098509-05,356663,65.3887113951012,66.9773635153129,84.2105263157895,,
2024-01-29 10:57:49.487777-05,356007,65.6869009584665,68.1757656458056,78.9473684210526,,
2024-01-29 12:20:35.916721-05,356010,65.7294994675186,68.1757656458056,78.9473684210526,,
2024-03-27 08:28:53.138352-04,357494,65.7401490947817,67.1105193075899,84.2105263157895,,
2024-03-27 09:32:47.528455-04,357493,65.7507987220447,67.1105193075899,84.2105263157895,,
2023-10-16 08:13:56.72039-04,352589,65.7507987220447,67.6431424766977,84.2105263157895,,
2023-10-15 21:54:13.93595-04,352576,65.7614483493078,67.6431424766977,84.2105263157895,,
2023-10-15 11:49:39.526219-04,352566,65.7720979765708,67.6431424766977,84.2105263157895,,
2024-01-29 14:01:30.671348-05,356009,65.7720979765708,68.1757656458056,78.9473684210526,,
2023-10-14 20:53:42.825762-04,352551,65.7827476038339,67.6431424766977,84.2105263157895,,
2023-10-17 23:15:44.926454-04,352632,65.8253461128861,67.7762982689747,84.2105263157895,,
2023-10-19 03:07:55.13269-04,352662,65.8359957401491,67.7762982689747,84.2105263157895,,
2023-10-18 02:18:06.607738-04,352635,65.8466453674121,67.7762982689747,84.2105263157895,,
2024-02-12 10:23:01.842542-05,303346,65.8466453674121,68.5752330226365,78.9473684210526,,
2023-10-19 05:08:09.193111-04,352664,65.8572949946752,67.7762982689747,84.2105263157895,,
2024-02-12 10:23:06.248791-05,303352,65.8572949946752,68.5752330226365,78.9473684210526,,
2023-10-19 07:04:52.194507-04,352666,65.8679446219382,67.7762982689747,84.2105263157895,,
2024-04-04 04:23:36.314533-04,357718,65.8679446219382,68.0426098535286,84.2105263157895,,
2023-10-17 11:14:58.024843-04,352620,65.8785942492013,67.7762982689747,84.2105263157895,,
2024-02-12 10:23:05.386508-05,303351,65.8785942492013,68.5752330226365,78.9473684210526,,
2023-10-17 21:20:05.185376-04,352630,65.8892438764643,67.9094540612517,84.2105263157895,,
2024-04-04 04:17:54.773638-04,357717,65.8998935037274,68.0426098535286,84.2105263157895,,
2024-02-12 10:23:04.486602-05,303350,65.8998935037274,68.5752330226365,78.9473684210526,,
2024-04-04 05:02:09.810718-04,357716,65.9105431309904,68.0426098535286,84.2105263157895,,
2024-04-04 07:16:33.861001-04,357721,65.9211927582535,68.0426098535286,84.2105263157895,,
2024-04-21 17:04:36.022477-04,358203,65.9531416400426,67.6431424766977,89.4736842105263,,
2023-11-14 10:08:49.573335-05,353392,66.0702875399361,68.0426098535286,84.2105263157895,,
2023-10-14 17:46:53.788139-04,352547,66.0809371671992,68.0426098535286,84.2105263157895,,
2023-10-14 16:43:56.102399-04,352546,66.0915867944622,68.0426098535286,84.2105263157895,,
2023-11-12 21:18:27.74358-05,353353,66.3365282215123,68.4420772303595,84.2105263157895,,
2023-11-12 21:16:33.391574-05,353352,66.3578274760383,68.4420772303595,84.2105263157895,,
2023-10-14 06:09:19.665858-04,352531,66.3791267305644,68.4420772303595,84.2105263157895,,
2023-11-05 09:14:06.858479-05,353150,66.3791267305644,68.5752330226365,84.2105263157895,,
2023-10-14 03:09:08.328198-04,352528,66.3897763578275,68.4420772303595,84.2105263157895,,
2023-10-14 02:09:25.689052-04,352527,66.4004259850905,68.4420772303595,84.2105263157895,,
2023-11-05 09:26:23.325289-05,353149,66.4004259850905,68.5752330226365,84.2105263157895,,
2023-11-10 18:42:55.031955-05,353297,66.4110756123536,68.4420772303595,84.2105263157895,,
2023-11-04 06:35:26.966633-04,353116,66.4110756123536,68.5752330226365,84.2105263157895,,
2023-11-04 04:15:48.719317-04,353108,66.4217252396166,68.5752330226365,84.2105263157895,,
2023-09-04 23:43:39.215169-04,351404,66.6027689030884,68.8415446071904,84.2105263157895,,
2023-09-04 22:41:28.593509-04,351403,66.6134185303514,68.8415446071904,84.2105263157895,,
2024-02-06 13:41:25.13664-05,300724,66.7838125665602,69.7736351531291,78.9473684210526,,
2023-12-11 00:00:17.287142-05,354423,66.8051118210863,68.5752330226365,84.2105263157895,,
2023-12-10 23:30:11.214514-05,354421,66.8157614483493,68.5752330226365,84.2105263157895,,
2023-10-29 03:36:18.395029-04,352949,66.8370607028754,68.5752330226365,84.2105263157895,,
2023-10-29 03:39:29.235856-04,352950,66.8583599574015,68.5752330226365,84.2105263157895,,
2023-10-29 12:23:57.955379-04,352959,66.9116080937167,68.5752330226365,84.2105263157895,,
2023-10-28 19:45:40.52725-04,352937,66.9222577209798,68.5752330226365,84.2105263157895,,
2023-10-28 20:48:53.489269-04,352938,66.9648562300319,68.5752330226365,84.2105263157895,,
2024-02-06 14:39:14.002307-05,306200,67.1246006389776,70.439414114514,84.2105263157895,,
2024-02-06 14:39:14.538795-05,306202,67.1352502662407,70.439414114514,84.2105263157895,,
2024-02-06 14:39:15.084511-05,306204,67.1458998935037,70.439414114514,84.2105263157895,,
2024-02-06 14:39:04.892724-05,306167,67.1565495207668,70.439414114514,84.2105263157895,,
2024-02-06 14:39:02.269779-05,306158,67.1671991480298,70.439414114514,84.2105263157895,,
2024-02-06 14:39:00.359726-05,306151,67.1778487752929,70.439414114514,84.2105263157895,,
2023-09-24 20:46:43.807415-04,351950,67.3908413205538,69.3741677762983,84.2105263157895,,
2023-09-24 18:52:00.232565-04,351948,67.4014909478168,69.3741677762983,84.2105263157895,,
2023-09-24 17:50:04.50714-04,351947,67.4121405750799,69.3741677762983,84.2105263157895,,
2023-09-23 13:32:31.60939-04,351917,67.4227902023429,69.3741677762983,84.2105263157895,,
2023-09-23 04:37:49.271428-04,351903,67.433439829606,69.3741677762983,84.2105263157895,,
2023-09-23 19:27:25.69142-04,351924,67.444089456869,69.3741677762983,84.2105263157895,,
2023-09-26 10:01:33.845777-04,351992,67.4547390841321,69.3741677762983,84.2105263157895,,
2023-09-25 23:29:24.529973-04,351981,67.4547390841321,69.5073235685752,84.2105263157895,,
2023-09-23 10:35:38.344901-04,351909,67.4653887113951,69.3741677762983,84.2105263157895,,
2023-09-26 00:24:38.512633-04,351982,67.4653887113951,69.5073235685752,84.2105263157895,,
2023-09-23 00:24:38.292048-04,351897,67.4760383386582,69.5073235685752,84.2105263157895,,
2023-09-22 20:56:38.763953-04,351895,67.5505857294995,69.6404793608522,84.2105263157895,,
2023-09-22 14:42:35.6792-04,351886,67.5612353567625,69.6404793608522,84.2105263157895,,
2023-09-22 12:12:07.156639-04,351884,67.6038338658147,69.6404793608522,84.2105263157895,,
2023-09-21 19:40:58.839318-04,351862,67.7529286474973,69.9067909454061,89.4736842105263,,
2023-09-21 20:47:14.373889-04,351863,67.7635782747604,69.9067909454061,89.4736842105263,,
2023-09-21 16:20:39.124305-04,351847,67.8061767838126,70.0399467376831,89.4736842105263,,
2023-07-20 05:05:41.155799-04,311236,67.9339723109691,69.9067909454061,89.4736842105263,,
2023-07-20 02:01:30.867819-04,311233,67.9552715654952,69.9067909454061,89.4736842105263,,
2023-07-20 01:03:34.23658-04,311232,67.9659211927582,69.9067909454061,89.4736842105263,,
2023-09-21 17:24:34.34312-04,351845,67.9659211927582,70.0399467376831,89.4736842105263,,
2023-07-19 18:57:14.695483-04,311226,67.9765708200213,70.0399467376831,89.4736842105263,,
2023-09-21 17:09:53.968013-04,351846,67.9765708200213,70.17310252996,89.4736842105263,,
2024-02-12 10:27:04.922154-05,303708,68.1043663471778,70.9720372836218,84.2105263157895,,
2024-04-21 19:07:06.074472-04,358205,68.1256656017039,70.0399467376831,94.7368421052632,,
2024-04-21 16:23:52.090601-04,358201,68.3067092651757,70.439414114514,94.7368421052632,,
2024-04-21 13:32:14.008707-04,358194,68.370607028754,70.439414114514,94.7368421052632,,
2024-04-20 07:15:59.769975-04,358161,68.3919062832801,70.439414114514,94.7368421052632,,
2024-04-18 19:59:17.675559-04,358123,68.4025559105431,70.439414114514,94.7368421052632,,
