timestamp,run_min,general_cov_thresh,panel_cov_thresh,crate_cov_thresh,Unnamed: 5,Unnamed: 6
2024-02-13 06:06:50.711247-05,309434,51.3525026624068,53.1291611185086,68.4210526315789,,absolute garbage
2024-02-13 06:06:54.254723-05,309439,51.384451544196,53.2623169107856,68.4210526315789,,absolute garbage
2024-02-12 10:16:17.311577-05,302640,53.0564430244941,54.5938748335553,63.1578947368421,,absolute garbage
2024-02-13 06:21:59.083619-05,309504,58.4984025559105,60.7190412782956,78.9473684210526,,garbage
2024-02-13 06:21:56.320105-05,309501,58.7752928647497,60.8521970705726,78.9473684210526,,garbage
2024-02-13 06:06:56.032691-05,309448,59.2225772097977,61.5179760319574,78.9473684210526,,garbage
2024-02-06 13:43:34.655386-05,302159,60.5537806176784,63.115845539281,73.6842105263158,,bad crate coverage
2024-02-06 13:43:33.52196-05,302145,60.7774227902023,63.2490013315579,73.6842105263158,,bad crate coverage
2024-02-06 13:43:30.90883-05,302114,60.8839190628328,63.3821571238349,73.6842105263158,,bad crate coverage
2024-02-25 10:12:46.978698-05,356762,61.6080937167199,63.5153129161119,78.9473684210526,,
2024-02-28 09:23:31.372528-05,356844,61.7145899893504,63.9147802929427,78.9473684210526,,
2024-02-28 01:17:02.967509-05,356832,61.7891373801917,64.0479360852197,78.9473684210526,,
2023-12-31 04:01:17.043095-05,355216,62.0447284345048,63.7816245006658,84.2105263157895,,
2024-02-12 10:34:56.619092-05,304332,63.1096911608094,65.6458055925433,78.9473684210526,,
2024-02-06 13:43:36.270471-05,302179,64.5473908413205,66.844207723036,78.9473684210526,,
2024-02-20 18:52:20.105659-05,356633,64.888178913738,66.4447403462051,84.2105263157895,,
2024-01-29 10:57:49.487777-05,356007,65.6869009584665,68.1757656458056,78.9473684210526,,
2024-01-29 12:20:35.916721-05,356010,65.7294994675186,68.1757656458056,78.9473684210526,,
2024-01-29 14:01:30.671348-05,356009,65.7720979765708,68.1757656458056,78.9473684210526,,
2023-10-19 05:08:09.193111-04,352664,65.8572949946752,67.7762982689747,84.2105263157895,,
2023-10-17 11:14:58.024843-04,352620,65.8785942492013,67.7762982689747,84.2105263157895,,
2024-02-06 13:41:25.13664-05,300724,66.7838125665602,69.7736351531291,78.9473684210526,,
2023-10-28 19:45:40.52725-04,352937,66.9222577209798,68.5752330226365,84.2105263157895,,
2023-09-24 20:46:43.807415-04,351950,67.3908413205538,69.3741677762983,84.2105263157895,,
2023-09-22 12:12:07.156639-04,351884,67.6038338658147,69.6404793608522,84.2105263157895,,
2023-09-21 16:20:39.124305-04,351847,67.8061767838126,70.0399467376831,89.4736842105263,,
2023-07-20 05:05:41.155799-04,311236,67.9339723109691,69.9067909454061,89.4736842105263,,
2023-09-21 17:24:34.34312-04,351845,67.9659211927582,70.0399467376831,89.4736842105263,,
2024-04-18 19:59:17.675559-04,358123,68.4025559105431,70.439414114514,94.7368421052632,,
2023-05-30 10:44:38.623624-04,309623,68.615548455804,71.7709720372836,89.4736842105263,,
2023-07-10 13:03:32.588777-04,310937,68.7433439829606,71.3715046604527,89.4736842105263,,
2024-04-18 08:58:12.56897-04,358103,68.8604898828541,70.8388814913449,94.7368421052632,,
2023-12-04 06:47:39.5417-05,354046,69.2225772097976,70.8388814913449,89.4736842105263,,
2024-03-28 14:06:17.0382-04,357527,69.307774227902,71.1051930758988,89.4736842105263,,
2024-05-16 14:58:26.631944-04,359089,69.3184238551651,72.3035952063915,94.7368421052632,,
2024-03-25 05:07:39.14354-04,357397,69.5633652822151,71.5046604527297,89.4736842105263,,
2024-02-06 13:43:36.464891-05,302187,69.5633652822151,72.3035952063915,84.2105263157895,,
2024-03-27 04:18:32.044078-04,357486,69.5846645367412,71.5046604527297,89.4736842105263,,
2024-01-07 10:33:55.541963-05,355415,70.1384451544196,72.4367509986684,84.2105263157895,,
2024-09-13 07:27:56.557105-04,362215,70.1384451544196,73.1025299600533,94.7368421052632,,
2024-02-12 10:22:53.85118-05,303334,70.3940362087327,73.7683089214381,84.2105263157895,,
2023-07-19 16:31:38.494588-04,311222,70.5644302449414,72.7030625832224,89.4736842105263,,
2023-12-28 12:16:26.309923-05,355145,70.6070287539936,72.8362183754993,94.7368421052632,,
2024-04-22 13:04:27.480375-04,358230,71.8104366347178,74.3009320905459,100.0,,among earliest runs with 100 crate cov
2024-02-12 10:38:24.932177-05,304616,71.8210862619808,75.0998668442077,89.4736842105263,,
2024-04-24 03:15:22.120098-04,358273,71.8317358892439,74.3009320905459,100.0,,
2024-02-12 10:37:54.843854-05,304555,72.1618743343983,75.3661784287617,89.4736842105263,,
2024-04-24 17:05:25.356094-04,358296,72.1725239616613,74.5672436750999,100.0,,
2024-04-13 08:02:09.144972-04,357973,72.1725239616613,74.8335552596538,94.7368421052632,,
2024-01-09 12:35:50.164272-05,355478,72.6304579339723,75.0998668442077,89.4736842105263,,
2023-11-22 11:06:56.135983-05,353689,74.4408945686901,77.0972037283622,94.7368421052632,,
2024-02-12 10:18:31.494368-05,302948,74.4408945686901,77.62982689747,89.4736842105263,,
2023-08-30 19:29:27.179973-04,351266,74.4515441959531,76.6977363515313,94.7368421052632,,
2023-11-04 00:43:01.430524-04,353093,75.3674121405751,77.896138482024,94.7368421052632,,
2023-11-04 00:03:20.087557-04,353081,75.3887113951012,77.896138482024,94.7368421052632,,
2024-02-06 13:41:08.188616-05,300512,80.6496272630458,84.8202396804261,94.7368421052632,,
2024-02-06 13:41:08.282973-05,300515,80.6602768903088,84.8202396804261,94.7368421052632,,
2024-02-12 10:40:49.113411-05,304823,80.6815761448349,84.4207723035952,100.0,,
2024-02-12 10:40:38.549746-05,304799,80.7454739084132,84.5539280958722,100.0,,
2024-02-06 13:40:50.823412-05,300091,85.3780617678381,89.6138482023968,100.0,,best ever real run
