Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,10290462.43999999,10290462.43999999,10290462.43999999,10290462.43999999,10290462.43999999
vector sum y,-10035522.469999986,-10035522.469999986,-10035522.469999986,-10035522.469999986,-10035522.469999986
vector sum z,-300663.16000000096,-300663.16000000096,-300663.16000000096,-300663.16000000096,-300663.16000000096
vector sum norm,14376916.456970401,14376916.456970401,14376916.456970401,14376916.456970401,14376916.456970401
total N,2389.0,2389.0,2389.0,2389.0,2389.0
mean,599.8187134502924,351.406432748538,162.31578947368422,91.3625730994152,59.198830409356724
median,414.0,130.5,3.0,0.0,0.0
variance,360997.34725214593,176793.90206388288,50131.28624192059,17962.04397934407,8017.439998632058
stdev,600.8305478686532,420.4686695389835,223.90017025880215,134.02255026428975,89.54015858056125
normalized stdev,1.0016869003845186,1.1965309406839046,1.3794109062636968,1.4669305572037092,1.5125325612245357
skewness,0.6821617334619653,0.932949338556908,1.0549811356842433,1.0860140512364886,1.0996462869109678
kurtosis,-0.8072501578777667,-0.47043911066028476,-0.4477713068345146,-0.5089264084003347,-0.5441892022656267
bowley skewness,0.23809523809523808,0.5870253164556962,0.9809825673534073,1.0,1.0
moors kurtosis,1.9167857142857143,2.1147151898734178,2.1121236133122028,2.065642458100559,2.0912162162162162
