Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,287.9549382377594,287.9549382377594,287.9549382377594,287.9549382377594,287.9549382377594
vector sum y,-831.1181732482097,-831.1181732482097,-831.1181732482097,-831.1181732482097,-831.1181732482097
vector sum z,-125.79794482006076,-125.79794482006076,-125.79794482006076,-125.79794482006076,-125.79794482006076
vector sum norm,888.5384557124717,888.5384557124717,888.5384557124717,888.5384557124717,888.5384557124717
total N,7091.0,7091.0,7091.0,7091.0,7091.0
mean,1779.9444444444443,1039.7836257309941,480.0233918128655,269.89473684210526,175.99122807017545
median,1877.5,1126.0,525.5,298.5,193.0
variance,103603.85948667968,53497.228035976885,16335.525768612566,6238.831024930747,2912.04378270237
stdev,321.8755341536223,231.2946779240216,127.81050726999156,78.98627111676274,53.96335592513099
normalized stdev,0.18083459579778402,0.22244500894252459,0.2662589145651839,0.2926558407212348,0.3066252592067454
