Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,8233303.590000004,8233303.590000004,8233303.590000004,8233303.590000004,8233303.590000004
vector sum y,-15667854.010000011,-15667854.010000011,-15667854.010000011,-15667854.010000011,-15667854.010000011
vector sum z,885957.6499999984,885957.6499999984,885957.6499999984,885957.6499999984,885957.6499999984
vector sum norm,17721564.77970763,17721564.77970763,17721564.77970763,17721564.77970763,17721564.77970763
total N,3389.0,3389.0,3389.0,3389.0,3389.0
mean,847.9883040935673,495.2134502923977,228.19590643274853,128.0701754385965,83.20760233918129
median,712.5,330.5,93.0,27.0,10.0
variance,517208.8361205157,238646.89888341713,64430.75401833044,22554.85472453063,9990.339942204442
stdev,719.1723271376031,488.5149935093263,253.83213748130956,150.18273777145836,99.9516880407952
normalized stdev,0.8480922716337953,0.986473596831596,1.1123430803353007,1.1726597332839899,1.201232642581859
skewness,0.4276964374011026,0.5256921797595675,0.5675596645202723,0.5827175841015326,0.5862441142075562
kurtosis,-1.0953934836264727,-1.2051197502523285,-1.3618512301743937,-1.4355552656611237,-1.4786337739496251
bowley skewness,0.12223743399178565,0.3045615951925703,0.6232911392405063,0.8225143796220213,0.9065420560747663
moors kurtosis,1.9380989634265597,1.8761267413275062,1.8422784810126582,1.6631059983566145,1.495911214953271
