Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,722.1764206834121,722.1764206834121,722.1764206834121,722.1764206834121,722.1764206834121
vector sum y,-139.99132394231012,-139.99132394231012,-139.99132394231012,-139.99132394231012,-139.99132394231012
vector sum z,183.60263430414662,183.60263430414662,183.60263430414662,183.60263430414662,183.60263430414662
vector sum norm,758.1861781209465,758.1861781209465,758.1861781209465,758.1861781209465,758.1861781209465
total N,6290.0,6290.0,6290.0,6290.0,6290.0
mean,1576.2573099415204,919.8216374269006,423.70175438596493,237.8859649122807,154.78654970760235
median,1565.5,937.0,458.0,264.5,176.5
variance,90222.69402551212,57297.3570756814,22484.846722068323,9423.171206525085,4577.179585171506
stdev,300.3709273972967,239.3686635206902,149.94948056618378,97.07301997221002,67.65485633102406
normalized stdev,0.19055957774333213,0.2602337820518091,0.3539033742814987,0.4080653518504348,0.43708485303682165
