Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-196.46904410165718,-196.46904410165718,-196.46904410165718,-196.46904410165718,-196.46904410165718
vector sum y,162.75985289939894,162.75985289939894,162.75985289939894,162.75985289939894,162.75985289939894
vector sum z,-242.27502019811416,-242.27502019811416,-242.27502019811416,-242.27502019811416,-242.27502019811416
vector sum norm,351.83524612814097,351.83524612814097,351.83524612814097,351.83524612814097,351.83524612814097
total N,6788.0,6788.0,6788.0,6788.0,6788.0
mean,1704.923976608187,996.187134502924,459.280701754386,257.4590643274854,167.87719298245614
median,1676.0,996.0,482.0,282.5,185.0
variance,40332.61410348483,31081.204746759686,13925.558633425671,6405.002710235628,3287.2890120036927
stdev,200.82981378143245,176.29862378010694,118.0066041941114,80.03126083122537,57.33488477361486
normalized stdev,0.1177939993435764,0.17697339954914812,0.2569378677208583,0.310850429913108,0.3415287315389327
