Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0
mean,1374.9093567251462,1313.3567251461989,1255.2105263157894,1197.482456140351,1139.43567251462,1082.8801169590645,1009.59649122807,937.1198830409356,865.7865497076024,792.6023391812865,716.8450292397661,640.7514619883041,566.6286549707602,495.2134502923977,351.406432748538,1316.388888888889,1258.1637426900584,1199.4561403508771,1141.3625730994152,1082.1023391812869,1009.985380116959,935.6754385964912,862.5555555555555,789.0438596491229,715.6374269005848,642.9561403508771,570.1783625730994,496.2456140350877,349.6198830409357
median,1383.0,1373.0,1365.0,1331.5,1308.5,1278.5,1202.5,1109.5,1016.0,864.0,730.0,585.0,452.0,330.5,130.5,1323.0,1264.0,1206.0,1147.0,1086.5,1016.0,937.0,865.5,793.0,717.0,643.0,571.0,497.0,350.5
variance,595.9245323347354,12231.323039567727,35367.265620190825,65895.74092028316,102549.62013098047,137157.81311343663,182885.08864265928,219679.43299647755,240453.99829862177,260518.83601792008,277809.7099021922,270085.689690845,257036.01122567625,238646.89888341716,176793.90206388288,551.9569525666017,664.9614924250196,705.704216682056,558.8568448411477,507.5070705516228,727.9968622824118,473.64612188365646,489.0948667966212,420.60918744229,390.9971957183407,397.4103570329332,327.0997657398858,169.79932286857493,273.88475086351355
stdev,24.41156554452695,110.59531201442368,188.0618664700285,256.701657416315,320.23369612047463,370.34823222669314,427.6506619223911,468.6997258335848,490.36108970698496,510.4104583743559,527.0765692972817,519.697690672996,506.98719039604566,488.5149935093263,420.4686695389835,23.49376412085985,25.786847275791967,26.565093952065293,23.64015323218417,22.52791758133944,26.981416980625976,21.76341245953071,22.11548929588991,20.50875879818889,19.7736490238484,19.93515380008224,18.08589963866564,13.03070692129076,16.549463763624292
normalized stdev,0.0177550363048456,0.0842081286042926,0.1498249596599665,0.2143677814234535,0.2810458754672399,0.3420029848425902,0.4235857252259248,0.5001491637469727,0.5663764236954155,0.6439678930314299,0.7352726848873612,0.8110753100122966,0.8947432960696415,0.986473596831596,1.1965309406839046,0.0178471303724615,0.0204956210394821,0.0221476159555898,0.020712220454179,0.0208186571321747,0.0267146609364795,0.0232595743799535,0.0256394955124319,0.0259919122966229,0.0276308201339996,0.0310054645239146,0.0317197228548758,0.0262585835577166,0.0473355909271515
skewness,-1.84909625347916,-1.624270838777919,-1.4055276832392471,-1.2701520878940094,-1.1498252227792576,-0.9928226842436456,-0.8382690985047221,-0.6495488371254899,-0.462388041287487,-0.2617781804919823,-0.0633404675630131,0.1420410452718545,0.3373524346147017,0.5256921797595675,0.932949338556908,-1.615818283989401,-1.4972754793343193,-1.6523401933798956,-0.9343311718136876,-1.029219905781689,-0.6565097372126624,-0.7103695281219489,-0.2600592300752425,-0.8490543308635934,-0.1550223277584051,0.0149322359883989,-0.1704498475688998,-0.0345026005635355,-0.0320521805215641
kurtosis,2.4579998745492477,1.527616488759147,0.8001898915339707,0.3572317348304259,0.0296650937646529,-0.3480318666910906,-0.6708796692300796,-1.021519351253746,-1.2632588090220138,-1.449382688826683,-1.5515320597006046,-1.5230613783297406,-1.4069531908583752,-1.2051197502523283,-0.4704391106602847,2.0175988045900644,1.731311969600104,2.1474517764877064,0.4088551799287994,1.0724195826765728,-0.4301619735078299,0.4411904417692271,-0.8385683250899336,0.6013384022854305,-0.8957889508139756,-0.5519347926268354,0.2636843325354783,-0.55691647923901,-0.5227817596151665
bowley skewness,-0.2,-0.7264957264957265,-0.816933638443936,-0.678407350689127,-0.653272101033295,-0.6272687029659141,-0.4896797153024911,-0.3637440758293839,-0.2611156022635408,-0.0963213939980638,-0.0299125632765761,0.0745079662605435,0.1875937968984492,0.3045615951925703,0.5870253164556962,-0.2222222222222222,-0.0434782608695652,0.0,-0.2181818181818181,-0.0869565217391304,-0.2571428571428571,0.0,-0.1142857142857142,-0.1568627450980392,-0.032258064516129,-0.0260869565217391,-0.036144578313253,-0.0666666666666666,-0.0869565217391304
moors kurtosis,3.0,3.324786324786325,2.2437070938215102,2.107197549770291,2.1489667049368544,2.0360779105799027,1.9766903914590748,1.8748518957345968,1.879951495553759,1.8119554695062925,1.8234008283479064,1.809278350515464,1.868184092046023,1.8761267413275065,2.1147151898734178,2.5069444444444446,2.391304347826087,2.96875,2.5,2.5380434782608696,2.3642857142857143,2.3221153846153846,2.067857142857143,2.2107843137254903,2.161290322580645,2.1695652173913045,2.4457831325301207,2.1866666666666665,2.260869565217391
