Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-651863.4499999956,-651863.4499999956,-651863.4499999956,-651863.4499999956,-651863.4499999956
vector sum y,-19763100.260000017,-19763100.260000017,-19763100.260000017,-19763100.260000017,-19763100.260000017
vector sum z,-604340.7000000019,-604340.7000000019,-604340.7000000019,-604340.7000000019,-604340.7000000019
vector sum norm,19783080.789551843,19783080.789551843,19783080.789551843,19783080.789551843,19783080.789551843
total N,4889.0,4889.0,4889.0,4889.0,4889.0
mean,1225.657894736842,716.8450292397661,330.7397660818713,185.67251461988303,120.57309941520468
median,1231.0,730.0,339.5,199.5,136.5
variance,618075.9736072638,277809.7099021922,73400.4790619336,25374.594507711776,11200.414247118772
stdev,786.1780800857168,527.0765692972817,270.92522780637023,159.29405044668735,105.83200955816143
normalized stdev,0.6414335382341866,0.7352726848873612,0.819149239342769,0.8579301614608988,0.8777414702903097
skewness,-0.05497511958419771,-0.06334046756301319,-0.07073588590108038,-0.07313040672490796,-0.07508175192784684
kurtosis,-1.3239634133466915,-1.5515320597006046,-1.7349778152856519,-1.8114799325097861,-1.851019704684708
bowley skewness,0.0024509803921568627,-0.02991256327657616,-0.06987951807228916,-0.1271186440677966,-0.18695652173913044
moors kurtosis,1.9803046218487395,1.8234008283479062,1.673293172690763,1.8414548022598871,1.9195652173913043
