Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,736.6472495064113,736.6472495064113,736.6472495064113,736.6472495064113,736.6472495064113
vector sum y,-544.1382365783099,-544.1382365783099,-544.1382365783099,-544.1382365783099,-544.1382365783099
vector sum z,-27.501095930603636,-27.501095930603636,-27.501095930603636,-27.501095930603636,-27.501095930603636
vector sum norm,916.2379063263526,916.2379063263526,916.2379063263526,916.2379063263526,916.2379063263526
total N,7261.0,7261.0,7261.0,7261.0,7261.0
mean,1819.3625730994152,1061.219298245614,488.2894736842105,273.55263157894734,178.08479532163742
median,1933.5,1149.0,534.0,300.0,195.0
variance,105358.4825758353,52952.621498922745,16670.34018159434,6719.229686057248,3208.948950104305
stdev,324.58971421755695,230.1143661289376,129.11367155183194,81.97090755906785,56.647585562884366
normalized stdev,0.17840848163903636,0.21683959810131417,0.26442034594285174,0.2996531493260778,0.31809332998122414
