Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,3097495.400000014,3097495.400000014,3097495.400000014,3097495.400000014,3097495.400000014
vector sum y,-19216644.13000004,-19216644.13000004,-19216644.13000004,-19216644.13000004,-19216644.13000004
vector sum z,-109274.67000000452,-109274.67000000452,-109274.67000000452,-109274.67000000452,-109274.67000000452
vector sum norm,19464989.861944184,19464989.861944184,19464989.861944184,19464989.861944184,19464989.861944184
total N,4389.0,4389.0,4389.0,4389.0,4389.0
mean,1097.1315789473683,640.7514619883041,295.2163742690058,165.7280701754386,107.51169590643275
median,1065.0,585.0,261.0,132.5,78.5
variance,600579.8394121267,270085.689690845,71423.61984884238,24724.30324715297,10914.822962620978
stdev,774.9708635891589,519.697690672996,267.2519781944418,157.2396363743982,104.47403008700763
normalized stdev,0.706360912820226,0.8110753100122966,0.9052749152420576,0.9487809530874607,0.9717457175815662
skewness,0.11967600416698701,0.14204104527185457,0.14978658447642593,0.1540007123691656,0.15643620914593542
kurtosis,-1.3073810563686468,-1.5230613783297406,-1.7036957884409294,-1.778505452339736,-1.8166739041272266
bowley skewness,0.006776034236804565,0.07450796626054358,0.1400329489291598,0.245014245014245,0.31140350877192985
moors kurtosis,1.9776212553495007,1.809278350515464,1.6894563426688634,1.7517806267806268,1.8464912280701755
