Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-97.36662059409277,-97.36662059409277,-97.36662059409277,-97.36662059409277,-97.36662059409277
vector sum y,-156.38493027110744,-156.38493027110744,-156.38493027110744,-156.38493027110744,-156.38493027110744
vector sum z,-119.45430468364829,-119.45430468364829,-119.45430468364829,-119.45430468364829,-119.45430468364829
vector sum norm,219.558275018882,219.558275018882,219.558275018882,219.558275018882,219.558275018882
total N,8589.0,8589.0,8589.0,8589.0,8589.0
mean,2152.0818713450294,1256.8654970760233,579.0204678362574,324.9035087719298,211.31286549707602
median,2152.0,1261.5,581.5,326.0,214.0
variance,6816.2681508840315,3786.192435279231,1389.1603997811292,666.7655432440752,372.2910040696283
stdev,82.56069374032677,61.532043971245024,37.271442147858046,25.821803640413563,19.294843976296576
normalized stdev,0.038363175137350686,0.04895674526382768,0.06436981802584245,0.07947529941432399,0.0913093669470095
