Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0
mean,633.812865497076,605.5292397660819,577.6812865497076,551.6461988304094,524.8099415204679,499.44152046783626,465.6578947368421,432.69883040935673,400.19883040935673,365.94444444444446,330.7397660818713,295.2163742690058,260.87134502923976,228.19590643274853,162.31578947368422,606.8216374269006,579.9883040935673,553.0526315789474,525.9649122807018,499.0029239766082,465.4356725146199,431.2134502923977,397.8245614035088,363.6461988304093,329.87134502923976,296.5204678362573,263.0029239766082,229.0146198830409,160.84795321637426
median,635.0,632.0,631.0,629.0,627.5,626.0,619.0,580.0,523.5,446.0,339.5,261.0,173.5,93.0,3.0,609.0,582.0,554.5,529.0,500.0,467.0,431.0,398.0,365.0,331.0,295.0,263.0,229.5,160.0
variance,208.4386648883417,4812.009378954208,12341.521228754147,21688.550263328885,32307.01358537669,41214.72611230807,51956.23091720529,60469.88298108821,64868.88444307651,69287.5904808317,73400.4790619336,71423.61984884238,68771.59748298622,64430.75401833044,50131.28624192059,208.29859614924248,250.42091583735169,274.68728839642966,263.8233302554632,201.00291542696897,310.6844584658527,203.90473137033615,195.2265312403817,170.63213467391677,182.4746759686741,170.36069217879003,167.02630723983447,126.1079733935228,140.00027358845458
stdev,14.437405060755957,69.36864838638712,111.09239950939104,147.27033056026215,179.7415188134803,203.0141032349922,227.9390947538515,245.9062483571497,254.6937071132236,263.2253606338715,270.92522780637023,267.2519781944418,262.24339359264366,253.8321374813096,223.90017025880212,14.432553348220909,15.824693230434251,16.57369266025015,16.242639263846968,14.177549697566535,17.626243458713848,14.27952139850409,13.972348809000644,13.06262357545056,13.50831876913904,13.052229394965062,12.92386580090626,11.22978064761386,11.832171127415906
normalized stdev,0.0227786557305573,0.1145587096887088,0.1923074229613839,0.2669651868761212,0.3424887842115511,0.4064822304818091,0.4894990449644734,0.5683080957822534,0.636417919694322,0.7193041584043854,0.819149239342769,0.9052749152420576,1.0052594836096318,1.1123430803353007,1.3794109062636968,0.0237838476054003,0.0272845040473114,0.0299676589783738,0.0308816023362,0.0284117567580248,0.0378704179752362,0.0331147402494551,0.0351218857873097,0.0359212432783945,0.0409502643157491,0.0440179711377384,0.0491396278242736,0.0490352129193715,0.0735612166074575
skewness,-2.2635299717663364,-2.642768360390289,-2.012981373793952,-1.7386469280456167,-1.504572947381061,-1.2444646926541072,-0.9696158126362082,-0.7286399032248234,-0.517940705026849,-0.2867396873283165,-0.0707358859010803,0.1497865844764259,0.3626681821908966,0.5675596645202723,1.0549811356842431,-2.113363532211733,-1.5804780348355958,-1.5174698347305322,-0.7594094253784455,-1.2579303093013816,-0.4881406274444013,-0.5496523806187508,-0.1701786307159339,-0.9168335205597664,-0.2940536485181481,0.166346761773144,-0.1055605613028539,-0.4040370650392752,0.3003946982751266
kurtosis,6.543197793298999,6.759654549054897,3.158234320254068,1.870271977457015,0.9577299654807097,0.0967209004821181,-0.6392856623629655,-1.123818540736083,-1.4080955242726876,-1.6245807017817415,-1.734977815285652,-1.7036957884409294,-1.5813975422949738,-1.3618512301743937,-0.4477713068345146,6.122966189327928,4.015708768665947,3.494299250468173,1.1378187937110402,3.122754209705759,-0.0684952909766507,0.9359677889228876,-0.4574082819439731,1.458246828688094,-0.317040574422748,-0.1139740734611152,1.1497184797685502,0.0888173186108622,-0.6282792833276494
bowley skewness,0.2307692307692307,-0.4343434343434343,-0.7728937728937729,-0.8458149779735683,-0.887240356083086,-0.9091847265221878,-0.901090909090909,-0.7478510028653295,-0.5600200904068308,-0.3516339869281046,-0.0698795180722891,0.1400329489291598,0.3800803930326038,0.6232911392405063,0.9809825673534072,-0.0909090909090909,-0.0666666666666666,0.0571428571428571,-0.1578947368421052,0.0666666666666666,-0.0833333333333333,0.0588235294117647,0.0,-0.0666666666666666,-0.1111111111111111,0.1466666666666666,-0.0666666666666666,0.0169491525423728,0.0
moors kurtosis,2.0,4.065656565656566,3.098901098901099,2.857929515418502,2.613501483679525,2.2254901960784315,1.969090909090909,1.8997134670487104,1.8633852335509795,1.7237472766884532,1.673293172690763,1.6894563426688634,1.75457793657883,1.8422784810126585,2.1121236133122028,2.4545454545454546,2.333333333333333,2.1142857142857143,2.3157894736842106,2.2,2.114583333333333,2.294117647058824,2.15,2.091666666666667,2.2847222222222223,2.08,2.2916666666666665,2.23728813559322,2.111111111111111
