Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-129.58417507663356,-129.58417507663356,-129.58417507663356,-129.58417507663356,-129.58417507663356
vector sum y,396.96440031587855,396.96440031587855,396.96440031587855,396.96440031587855,396.96440031587855
vector sum z,-166.21782868870994,-166.21782868870994,-166.21782868870994,-166.21782868870994,-166.21782868870994
vector sum norm,449.4453917022912,449.4453917022912,449.4453917022912,449.4453917022912,449.4453917022912
total N,6543.0,6543.0,6543.0,6543.0,6543.0
mean,1644.0204678362572,961.4181286549708,443.42397660818716,248.859649122807,161.93567251461988
median,1667.5,963.5,445.0,258.0,174.0
variance,48844.96741732499,34330.24329708287,13892.735448514073,6347.991997537704,3329.9666222085425
stdev,221.0089758750196,185.28422301179037,117.86744863834998,79.67428692832904,57.70586297949752
normalized stdev,0.13443200994078613,0.1927197100714171,0.265812077957387,0.32015751532708886,0.3563505315623876
