Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-66034.30999997677,-66034.30999997677,-66034.30999997677,-66034.30999997677,-66034.30999997677
vector sum y,-153091.48000000347,-153091.48000000347,-153091.48000000347,-153091.48000000347,-153091.48000000347
vector sum z,-469585.63999999635,-469585.63999999635,-469585.63999999635,-469585.63999999635,-469585.63999999635
vector sum norm,498305.33274285827,498305.33274285827,498305.33274285827,498305.33274285827,498305.33274285827
total N,8989.0,8989.0,8989.0,8989.0,8989.0
mean,2252.0526315789475,1316.388888888889,606.8216374269006,340.4327485380117,221.5672514619883
median,2260.5,1323.0,609.0,341.0,222.0
variance,724.207756232687,551.9569525666017,208.29859614924248,88.55541876132827,47.24547724086044
stdev,26.911108417021527,23.49376412085985,14.432553348220907,9.410388874075728,6.873534552241695
normalized stdev,0.01194959124829767,0.01784713037246159,0.023783847605400348,0.027642431330383577,0.031022339749612805
skewness,-1.005420511306846,-1.615818283989401,-2.1133635322117335,-1.7305327282909484,-3.946699198273712
kurtosis,-0.16869511302238216,2.0175988045900644,6.1229661893279275,6.87824259378767,38.90858172016824
bowley skewness,-0.19230769230769232,-0.2222222222222222,-0.09090909090909091,0.09090909090909091,0.0
moors kurtosis,3.019230769230769,2.5069444444444446,2.4545454545454546,2.1818181818181817,2.0
