Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0
mean,2352.33918128655,2248.9853801169597,2149.2748538011697,2050.029239766082,1950.5994152046785,1851.9181286549708,1726.687134502924,1601.7251461988303,1478.4298245614036,1353.2719298245613,1225.657894736842,1097.1315789473683,971.654970760234,847.9883040935673,599.8187134502924,2252.0526315789475,2152.1081871345027,2052.4210526315787,1951.8538011695907,1850.9912280701756,1727.3567251461989,1600.6608187134502,1475.845029239766,1349.8830409356726,1224.821637426901,1100.3040935672514,974.9649122807018,848.7836257309941,598.1578947368421
median,2366.0,2304.0,2280.5,2199.5,2130.0,2033.5,1917.0,1751.0,1583.5,1418.0,1231.0,1065.0,889.5,712.5,414.0,2260.5,2159.0,2064.0,1957.0,1856.0,1733.0,1602.0,1477.0,1353.5,1228.0,1098.5,975.0,847.5,601.0
variance,814.2416812010534,20185.8857511713,63541.98293492015,122407.58978831091,195822.91847919015,268875.2038233986,373957.788080093,464978.6028179611,519799.5901046476,573519.3968144045,618075.9736072638,600579.8394121267,564133.9686741219,517208.8361205157,360997.34725214593,724.207756232687,901.8567165965596,1036.5887965527857,603.9084504633905,727.7806248076331,676.3113436612974,741.37618412503,527.0841711979755,645.6705311035875,615.3161400088916,564.6794569269176,388.0163127116036,186.78359153243733,448.02770083102496
stdev,28.534920381894416,142.0770416047973,252.07535170047893,349.86796050554693,442.51883403894817,518.5317770623114,611.5208811480545,681.8933954937246,720.9712824410191,757.3106342937517,786.1780800857168,774.9708635891589,751.0885225285512,719.1723271376031,600.8305478686532,26.911108417021527,30.03092933288212,32.196099089063345,24.5745488353986,26.9774095273737,26.00598668886257,27.228224035456847,22.958313770788468,25.410047837491128,24.805566714124705,23.762985017184132,19.69812967546928,13.666879363352752,21.16666484902676
normalized stdev,0.0121304447117562,0.0631738395726736,0.117283906827767,0.1706648635633453,0.2268629994398487,0.2799971386634223,0.3541584742994556,0.4257243492193246,0.4876601313524671,0.5596145294995735,0.6414335382341866,0.706360912820226,0.7729992076723396,0.8480922716337953,1.0016869003845186,0.0119495912482976,0.0139541912959625,0.0156868879549749,0.0125903634896594,0.0145745744865036,0.0150553654090538,0.0170106144394424,0.0155560464113327,0.0188238884902784,0.0202523910062824,0.0215967432604409,0.02020393701081,0.0161017236301919,0.0353864172575018
skewness,-1.2332465770502004,-0.9078771774312362,-0.8690632861566879,-0.8182700897578147,-0.7577580734404252,-0.664810212874405,-0.607212650465012,-0.503649289855167,-0.365094749173908,-0.2186194573048125,-0.0549751195841977,0.119676004166987,0.2789157690728566,0.4276964374011026,0.6821617334619653,-1.005420511306846,-0.8152887965380375,-1.1342510420695455,-0.6681489399692583,-0.5753274101846217,-0.5296872114224586,-0.3297374624132567,-0.1701312807853559,-0.3094802800389974,-0.3937428558221363,0.1273492151664713,-0.085784132302897,0.4016395401487964,-0.311015467319169
kurtosis,0.0459192294127945,-0.732668563723216,-0.6849564183245409,-0.7181035999589951,-0.7843911293496668,-0.9079372935931622,-0.92331677615792,-1.0156928416466873,-1.146861310733383,-1.2530411970877895,-1.3239634133466915,-1.3073810563686468,-1.2244287119854822,-1.0953934836264727,-0.8072501578777667,-0.1686951130223821,-0.261587597056105,0.2318258366561223,-0.4546715513945454,-0.2530603665382696,-0.6174440446395071,-0.6897994145188551,-0.7816914642249824,-0.6181214682613128,-0.5243315341485109,-0.6727076574400059,-0.408289535065065,0.0659694837645101,-0.5907774642352206
bowley skewness,-0.6610169491525424,-0.4252607184241019,-0.5862913096695227,-0.4505015263846489,-0.4003350083752093,-0.3245686113393591,-0.2532028884230142,-0.1559859880486297,-0.1039110429447852,-0.0462724935732647,0.0024509803921568,0.0067760342368045,0.0643776824034334,0.1222374339917856,0.238095238095238,-0.1923076923076923,-0.1292517006802721,-0.4244604316546763,-0.1428571428571428,-0.1724137931034483,-0.2682926829268293,0.0379746835443038,-0.027027027027027,-0.1483870967741935,-0.0629370629370629,0.1156462585034013,0.02803738317757,0.1176470588235294,-0.1612903225806451
moors kurtosis,2.6228813559322037,2.015063731170336,1.923500611995104,1.9437418229393808,1.9773869346733668,1.9086551629690496,1.9307011413929651,1.921491860704719,1.922450153374233,1.9704370179948587,1.9803046218487397,1.9776212553495007,1.9930957268147045,1.93809896342656,1.9167857142857143,3.019230769230769,2.595238095238096,2.622302158273381,2.182142857142857,2.788793103448276,2.0365853658536586,2.231012658227848,2.0371621621621623,2.064516129032258,2.097902097902098,2.0510204081632653,2.2196261682242997,2.294117647058824,2.129032258064516
