Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-345556.29999999906,-345556.29999999906,-345556.29999999906,-345556.29999999906,-345556.29999999906
vector sum y,-154714.5900000042,-154714.5900000042,-154714.5900000042,-154714.5900000042,-154714.5900000042
vector sum z,-227292.66999999984,-227292.66999999984,-227292.66999999984,-227292.66999999984,-227292.66999999984
vector sum norm,441596.7828962158,441596.7828962158,441596.7828962158,441596.7828962158,441596.7828962158
total N,2389.0,2389.0,2389.0,2389.0,2389.0
mean,598.1578947368421,349.6198830409357,160.84795321637426,90.1140350877193,58.66959064327485
median,601.0,350.5,160.0,89.0,58.0
variance,448.02770083102496,273.88475086351355,140.00027358845458,81.36418898122498,53.48439690845046
stdev,21.16666484902676,16.549463763624292,11.832171127415906,9.02021002977342,7.313302736004469
normalized stdev,0.03538641725750184,0.047335590927151526,0.07356121660745756,0.10009772640846587,0.12465235662663984
skewness,-0.311015467319169,-0.032052180521564146,0.3003946982751266,0.3084799464146846,0.24767835779132896
kurtosis,-0.5907774642352206,-0.5227817596151665,-0.6282792833276494,0.02156575688709017,-0.014779557985102443
bowley skewness,-0.16129032258064516,-0.08695652173913043,0.0,0.16666666666666666,0.2
moors kurtosis,2.129032258064516,2.260869565217391,2.111111111111111,2.3333333333333335,2.2
