Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-6654627.329999964,-6654627.329999964,-6654627.329999964,-6654627.329999964,-6654627.329999964
vector sum y,-16385220.200000007,-16385220.200000007,-16385220.200000007,-16385220.200000007,-16385220.200000007
vector sum z,-1574566.359999996,-1574566.359999996,-1574566.359999996,-1574566.359999996,-1574566.359999996
vector sum norm,17754964.520542257,17754964.520542257,17754964.520542257,17754964.520542257,17754964.520542257
total N,5889.0,5889.0,5889.0,5889.0,5889.0
mean,1478.4298245614036,865.7865497076024,400.19883040935673,225.0906432748538,146.3830409356725
median,1583.5,1016.0,523.5,323.0,217.0
variance,519799.5901046476,240453.99829862177,64868.88444307651,22598.36897677918,9999.008250401834
stdev,720.9712824410191,490.36108970698496,254.69370711322358,150.32753898331197,99.99504112905716
normalized stdev,0.48766013135246716,0.5663764236954155,0.636417919694322,0.6678533447512074,0.6831053685583675
skewness,-0.36509474917390805,-0.462388041287487,-0.517940705026849,-0.5374410553834832,-0.5447202847244872
kurtosis,-1.146861310733383,-1.2632588090220138,-1.4080955242726876,-1.477285916915204,-1.5144359979957691
bowley skewness,-0.10391104294478527,-0.2611156022635408,-0.5600200904068308,-0.7948717948717948,-0.8628571428571429
moors kurtosis,1.922450153374233,1.879951495553759,1.8633852335509795,1.6762820512820513,1.5731428571428572
