Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,736.206600540637,736.206600540637,736.206600540637,736.206600540637,736.206600540637
vector sum y,-539.5192401656282,-539.5192401656282,-539.5192401656282,-539.5192401656282,-539.5192401656282
vector sum z,-24.013077705991837,-24.013077705991837,-24.013077705991837,-24.013077705991837,-24.013077705991837
vector sum norm,913.0486279982091,913.0486279982091,913.0486279982091,913.0486279982091,913.0486279982091
total N,7256.0,7256.0,7256.0,7256.0,7256.0
mean,1818.204678362573,1060.517543859649,487.93859649122805,273.3421052631579,177.953216374269
median,1933.5,1148.5,533.5,298.5,195.0
variance,104771.90547518893,52739.41343490306,16632.806171129578,6709.131502000615,3206.7112615847614
stdev,323.68488607778545,229.65063343022388,128.9682370629667,81.9092882523137,56.62783115734489
normalized stdev,0.17802444902368608,0.21654581271181336,0.264312431913316,0.299658510983722,0.31821751981288127
