1,0.0116025,2.43506
1,0.0474785,2.40917
1,0.0813629,2.38263
1,0.113415,2.35551
1,0.477621,1.78802
1,0.0646611,2.44243
1,0.0993416,2.41562
1,0.131954,2.38819
1,-0.0739211,2.85362
1,0.118635,2.4484
1,0.151828,2.42069
1,0.183027,2.39248
1,0.173159,2.45289
1,0.204754,2.42438
1,0.28363,2.1486
1,0.261273,2.17836
1,0.237969,2.20795
1,0.213595,2.23724
1,0.188119,2.26619
1,0.241805,2.1472
1,0.218568,2.17652
1,0.194372,2.20562
1,0.169126,2.23438
1,0.200048,2.14497
1,0.175999,2.17382
1,0.151011,2.2024
1,0.158487,2.14196
1,0.133747,2.1703
1,0.219769,2.30264
1,0.266869,2.30432
1,0.314148,2.30488
1,0.361484,2.30431
1,0.408552,2.30265
1,0.241235,2.33399
1,0.289826,2.33519
1,0.338522,2.33516
1,0.387114,2.334
1,0.264053,2.36513
1,0.314167,2.36573
1,0.364291,2.36512
1,0.28832,2.39591
1,0.340011,2.39592
1,0.245405,2.269
1,0.358939,2.23924
1,0.31418,2.23972
1,0.269391,2.23922
1,0.336037,2.20917
1,0.292277,2.20915
1,0.314164,2.17891
1,0.440185,2.26619
1,0.414721,2.23726
1,0.390367,2.20796
1,0.367045,2.17835
1,0.344699,2.1486
1,0.459183,2.23441
1,0.433976,2.20562
1,0.409738,2.17651
1,0.386524,2.1472
1,0.477329,2.2024
1,0.452301,2.17382
1,0.428272,2.14498
1,0.494604,2.17032
1,0.469827,2.14197
1,0.0132081,1.94169
1,0.0507234,1.94461
1,0.0883803,1.94703
1,0.126103,1.94899
1,0.163809,1.95047
1,0.0291724,1.9735
1,0.0672256,1.97625
1,0.105408,1.97846
1,0.143603,1.98016
1,0.0455628,2.00525
1,0.0841769,2.0078
1,0.122877,2.00974
1,0.0624176,2.03685
1,0.101596,2.03912
1,0.141814,1.91156
1,0.0713685,1.84729
1,0.0878232,1.87868
1,0.104606,1.91002
1,0.0510359,1.87653
1,0.0674244,1.90805
1,0.0303537,1.90562
1,0.182978,1.91073
1,0.165495,1.87984
1,0.148309,1.84881
1,0.131399,1.81768
1,0.114819,1.78659
1,0.202346,1.88083
1,0.184853,1.84997
1,0.167613,1.81901
1,0.150696,1.788
1,0.22137,1.85079
1,0.203849,1.82002
1,0.186634,1.78916
1,0.240005,1.82073
1,0.222537,1.79005
1,0.208927,1.97661
1,0.226962,2.00756
1,0.245548,2.03844
1,0.264725,2.06922
1,0.284526,2.09974
1,0.188268,2.00616
1,0.20619,2.03733
1,0.224756,2.0684
1,0.243905,2.09927
1,0.16696,2.03558
1,0.184835,2.06692
1,0.203298,2.0981
1,0.145068,2.06476
1,0.162816,2.09622
1,0.371501,1.97798
1,0.275357,2.00873
1,0.31414,2.00902
1,0.35295,2.00874
1,0.294468,2.03938
1,0.333853,2.03939
1,0.314154,2.06983
1,0.389498,1.94292
1,0.351874,1.94362
1,0.314168,1.94386
1,0.276416,1.94363
1,0.238819,1.94291
1,0.370078,1.91293
1,0.332805,1.91335
1,0.295488,1.91337
1,0.258217,1.91292
1,0.351045,1.88278
1,0.314152,1.88301
1,0.277252,1.88279
1,0.332409,1.85262
1,0.2959,1.8526
1,0.343779,2.09974
1,0.363592,2.06921
1,0.382754,2.03846
1,0.401358,2.00757
1,0.419404,1.97662
1,0.384402,2.09927
1,0.403572,2.0684
1,0.4221,2.03733
1,0.44006,2.00618
1,0.425019,2.09811
1,0.443499,2.06692
1,0.461337,2.03559
1,0.465509,2.09623
1,0.483221,2.06477
1,0.513508,1.7866
1,0.4969,1.8177
1,0.480017,1.8488
1,0.462816,1.87986
1,0.445331,1.91072
1,0.460672,1.81902
1,0.443476,1.85
1,0.425951,1.88085
1,0.441669,1.78917
1,0.424463,1.82004
1,0.406945,1.85082
1,0.597166,1.83727
1,0.577109,1.80801
1,0.55737,1.7787
1,0.654144,1.86376
1,0.633515,1.8348
1,0.613157,1.80572
1,0.593133,1.77657
1,0.669745,1.83202
1,0.628892,1.77416
1,0.664571,1.77149
1,0.721765,2.05665
1,0.637007,2.00312
1,0.659323,2.03193
1,0.682285,2.06053
1,0.620206,2.03483
1,0.642623,2.06378
1,0.602867,2.06636
