Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-9.977833665779354,-9.977833665779354,-9.977833665779354,-9.977833665779354,-9.977833665779354
vector sum y,-16.516264861387665,-16.516264861387665,-16.516264861387665,-16.516264861387665,-16.516264861387665
vector sum z,-74.4396788625964,-74.4396788625964,-74.4396788625964,-74.4396788625964,-74.4396788625964
vector sum norm,76.89999973211931,76.89999973211931,76.89999973211931,76.89999973211931,76.89999973211931
total N,8189.0,8189.0,8189.0,8189.0,8189.0
mean,2052.4210526315787,1199.4561403508771,553.0526315789474,310.1169590643275,202.00292397660817
median,2064.0,1206.0,554.5,311.0,203.0
variance,1036.5887965527857,705.704216682056,274.68728839642966,115.96292876440614,60.78069320474676
stdev,32.196099089063345,26.565093952065293,16.57369266025015,10.768608487841227,7.796197355425705
normalized stdev,0.015686887954974964,0.02214761595558984,0.029967658978373887,0.034724345680197055,0.038594477752849264
