Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-1.9947318827505058,-1.9947318827505058,-1.9947318827505058,-1.9947318827505058,-1.9947318827505058
vector sum y,57.24302468318279,57.24302468318279,57.24302468318279,57.24302468318279,57.24302468318279
vector sum z,24.28447014292348,24.28447014292348,24.28447014292348,24.28447014292348,24.28447014292348
vector sum norm,62.213168383277804,62.213168383277804,62.213168383277804,62.213168383277804,62.213168383277804
total N,4889.0,4889.0,4889.0,4889.0,4889.0
mean,1224.8216374269007,715.6374269005848,329.87134502923976,184.73976608187135,120.30701754385964
median,1228.0,717.0,331.0,185.0,120.0
variance,615.3161400088916,390.99719571834066,182.47467596867412,97.71298006224139,68.68644198214837
stdev,24.805566714124705,19.773649023848396,13.508318769139041,9.8849876106266,8.287728396982395
normalized stdev,0.02025239100628245,0.02763082013399967,0.040950264315749114,0.05350763303579078,0.06888815437520912
