Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-481.5663264274548,-481.5663264274548,-481.5663264274548,-481.5663264274548,-481.5663264274548
vector sum y,-2186.7411491368857,-2186.7411491368857,-2186.7411491368857,-2186.7411491368857,-2186.7411491368857
vector sum z,-174.6180370088238,-174.6180370088238,-174.6180370088238,-174.6180370088238,-174.6180370088238
vector sum norm,2245.9373185657155,2245.9373185657155,2245.9373185657155,2245.9373185657155,2245.9373185657155
total N,5389.0,5389.0,5389.0,5389.0,5389.0
mean,1353.2719298245613,792.6023391812865,365.94444444444446,205.35087719298247,133.34795321637426
median,1418.0,864.0,446.0,264.5,184.0
variance,573519.3968144045,260518.83601792008,69287.5904808317,24053.28624192059,10643.992963646935
stdev,757.3106342937517,510.41045837435587,263.2253606338715,155.09121909998834,103.1697289113766
normalized stdev,0.5596145294995735,0.6439678930314299,0.7193041584043854,0.7552498495257868,0.7736881326102576
