Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-41.014790958960965,-41.014790958960965,-41.014790958960965,-41.014790958960965,-41.014790958960965
vector sum y,-18.37552793268393,-18.37552793268393,-18.37552793268393,-18.37552793268393,-18.37552793268393
vector sum z,-26.95724196366971,-26.95724196366971,-26.95724196366971,-26.95724196366971,-26.95724196366971
vector sum norm,52.40769026106712,52.40769026106712,52.40769026106712,52.40769026106712,52.40769026106712
total N,2389.0,2389.0,2389.0,2389.0,2389.0
mean,598.1578947368421,349.6198830409357,160.84795321637426,90.1140350877193,58.66959064327485
median,601.0,350.5,160.0,89.0,58.0
variance,448.02770083102496,273.88475086351355,140.00027358845458,81.36418898122498,53.48439690845046
stdev,21.16666484902676,16.549463763624292,11.832171127415906,9.02021002977342,7.313302736004469
normalized stdev,0.03538641725750184,0.047335590927151526,0.07356121660745756,0.10009772640846587,0.12465235662663984
