Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,979.4011740610132,979.4011740610132,979.4011740610132,979.4011740610132,979.4011740610132
vector sum y,-1863.6098795988253,-1863.6098795988253,-1863.6098795988253,-1863.6098795988253,-1863.6098795988253
vector sum z,105.50615844737725,105.50615844737725,105.50615844737725,105.50615844737725,105.50615844737725
vector sum norm,2107.93737870952,2107.93737870952,2107.93737870952,2107.93737870952,2107.93737870952
total N,3389.0,3389.0,3389.0,3389.0,3389.0
mean,847.9883040935673,495.2134502923977,228.19590643274853,128.0701754385965,83.20760233918129
median,712.5,330.5,93.0,27.0,10.0
variance,517208.8361205157,238646.89888341713,64430.75401833044,22554.85472453063,9990.339942204442
stdev,719.1723271376031,488.5149935093263,253.83213748130956,150.18273777145836,99.9516880407952
normalized stdev,0.8480922716337953,0.986473596831596,1.1123430803353007,1.1726597332839899,1.201232642581859
