Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-993.845913643667,-993.845913643667,-993.845913643667,-993.845913643667,-993.845913643667
vector sum y,-707.5220269106766,-707.5220269106766,-707.5220269106766,-707.5220269106766,-707.5220269106766
vector sum z,130.54445515433255,130.54445515433255,130.54445515433255,130.54445515433255,130.54445515433255
vector sum norm,1226.9307125512626,1226.9307125512626,1226.9307125512626,1226.9307125512626,1226.9307125512626
total N,7789.0,7789.0,7789.0,7789.0,7789.0
mean,1950.5994152046783,1139.43567251462,524.8099415204679,294.34795321637426,191.44152046783626
median,2130.0,1308.5,627.5,352.0,228.0
variance,195822.91847919018,102549.62013098049,32307.013585376695,12148.145010430559,5603.661784822681
stdev,442.51883403894817,320.23369612047463,179.7415188134803,110.21862370049155,74.85761006619622
normalized stdev,0.22686299943984872,0.2810458754672399,0.34248878421155116,0.3744501108165348,0.39102076646310857
