Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-20.600340101712494,-20.600340101712494,-20.600340101712494,-20.600340101712494,-20.600340101712494
vector sum y,-3.7741639626137653,-3.7741639626137653,-3.7741639626137653,-3.7741639626137653,-3.7741639626137653
vector sum z,-33.231587197942986,-33.231587197942986,-33.231587197942986,-33.231587197942986,-33.231587197942986
vector sum norm,39.280487695768294,39.280487695768294,39.280487695768294,39.280487695768294,39.280487695768294
total N,7789.0,7789.0,7789.0,7789.0,7789.0
mean,1951.8538011695907,1141.3625730994152,525.9649122807018,295.1140350877193,191.96783625730995
median,1957.0,1147.0,529.0,295.0,192.0
variance,603.9084504633905,558.8568448411477,263.8233302554632,114.42266851338873,64.1948719264047
stdev,24.5745488353986,23.640153232184172,16.242639263846968,10.696853206125095,8.012170238231631
normalized stdev,0.012590363489659433,0.02071222045417908,0.030881602336200034,0.03624650790649647,0.041737045092763735
