Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-17.29021880994648,-17.29021880994648,-17.29021880994648,-17.29021880994648,-17.29021880994648
vector sum y,21.734739294859917,21.734739294859917,21.734739294859917,21.734739294859917,21.734739294859917
vector sum z,-27.514377073741354,-27.514377073741354,-27.514377073741354,-27.514377073741354,-27.514377073741354
vector sum norm,39.09464802843707,39.09464802843707,39.09464802843707,39.09464802843707,39.09464802843707
total N,5889.0,5889.0,5889.0,5889.0,5889.0
mean,1475.845029239766,862.5555555555555,397.82456140350877,222.93567251461988,145.16959064327486
median,1477.0,865.5,398.0,223.0,145.0
variance,527.0841711979755,489.09486679662115,195.2265312403817,92.08942922608664,62.98293492014637
stdev,22.958313770788468,22.11548929588991,13.972348809000643,9.596323734956352,7.936178861400893
normalized stdev,0.015556046411332701,0.025639495512431942,0.035121885787309785,0.0430452588709285,0.05466832844422948
