Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,14.999873535532075,14.999873535532075,14.999873535532075,14.999873535532075,14.999873535532075
vector sum y,-25.302835981921277,-25.302835981921277,-25.302835981921277,-25.302835981921277,-25.302835981921277
vector sum z,-54.802505444092795,-54.802505444092795,-54.802505444092795,-54.802505444092795,-54.802505444092795
vector sum norm,62.19762308770155,62.19762308770155,62.19762308770155,62.19762308770155,62.19762308770155
total N,7389.0,7389.0,7389.0,7389.0,7389.0
mean,1850.9912280701753,1082.1023391812867,499.0029239766082,279.92397660818716,182.19883040935673
median,1856.0,1086.5,500.0,280.0,182.0
variance,727.7806248076331,507.50707055162275,201.00291542696897,102.50299237372182,56.925378749016794
stdev,26.9774095273737,22.52791758133944,14.177549697566535,10.124376147384185,7.544890903718675
normalized stdev,0.014574574486503683,0.02081865713217472,0.028411756758024802,0.036168306373967354,0.04141020492155262
