Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-77.51905866183144,-77.51905866183144,-77.51905866183144,-77.51905866183144,-77.51905866183144
vector sum y,-2350.831531136811,-2350.831531136811,-2350.831531136811,-2350.831531136811,-2350.831531136811
vector sum z,-71.7330363099176,-71.7330363099176,-71.7330363099176,-71.7330363099176,-71.7330363099176
vector sum norm,2353.202864340663,2353.202864340663,2353.202864340663,2353.202864340663,2353.202864340663
total N,4889.0,4889.0,4889.0,4889.0,4889.0
mean,1225.657894736842,716.8450292397661,330.7397660818713,185.67251461988303,120.57309941520468
median,1231.0,730.0,339.5,199.5,136.5
variance,618075.9736072638,277809.7099021922,73400.4790619336,25374.594507711776,11200.414247118772
stdev,786.1780800857168,527.0765692972817,270.92522780637023,159.29405044668735,105.83200955816143
normalized stdev,0.6414335382341866,0.7352726848873612,0.819149239342769,0.8579301614608988,0.8777414702903097
