Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-1011.3584972170348,-1011.3584972170348,-1011.3584972170348,-1011.3584972170348,-1011.3584972170348
vector sum y,-1691.8852544644922,-1691.8852544644922,-1691.8852544644922,-1691.8852544644922,-1691.8852544644922
vector sum z,-107.92969067571651,-107.92969067571651,-107.92969067571651,-107.92969067571651,-107.92969067571651
vector sum norm,1974.074604035226,1974.074604035226,1974.074604035226,1974.074604035226,1974.074604035226
total N,6389.0,6389.0,6389.0,6389.0,6389.0
mean,1601.7251461988303,937.1198830409356,432.69883040935673,243.0,158.0438596491228
median,1751.0,1109.5,580.0,344.0,225.0
variance,464978.6028179611,219679.43299647755,60469.88298108821,21277.912280701756,9463.33433364112
stdev,681.8933954937246,468.6997258335848,245.90624835714974,145.8695042862001,97.27967071100272
normalized stdev,0.4257243492193246,0.5001491637469727,0.5683080957822534,0.6002860258691363,0.6155232536523456
