Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-817.177910542249,-817.177910542249,-817.177910542249,-817.177910542249,-817.177910542249
vector sum y,-478.8823192833745,-478.8823192833745,-478.8823192833745,-478.8823192833745,-478.8823192833745
vector sum z,137.23205701873206,137.23205701873206,137.23205701873206,137.23205701873206,137.23205701873206
vector sum norm,957.0478831667788,957.0478831667788,957.0478831667788,957.0478831667788,957.0478831667788
total N,8189.0,8189.0,8189.0,8189.0,8189.0
mean,2050.029239766082,1197.482456140351,551.6461988304094,309.32163742690057,201.07894736842104
median,2199.5,1331.5,629.0,353.0,229.0
variance,122407.58978831093,65895.74092028316,21688.550263328885,8395.036900242809,3967.8271006463524
stdev,349.86796050554693,256.701657416315,147.27033056026215,91.62443396956299,62.99069058715226
normalized stdev,0.17066486356334534,0.21436778142345353,0.2669651868761212,0.29621087852677563,0.31326347890482736
