Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,368.40768992487705,368.40768992487705,368.40768992487705,368.40768992487705,368.40768992487705
vector sum y,-2285.826363373009,-2285.826363373009,-2285.826363373009,-2285.826363373009,-2285.826363373009
vector sum z,-12.887630958874047,-12.887630958874047,-12.887630958874047,-12.887630958874047,-12.887630958874047
vector sum norm,2315.3601189703927,2315.3601189703927,2315.3601189703927,2315.3601189703927,2315.3601189703927
total N,4389.0,4389.0,4389.0,4389.0,4389.0
mean,1097.1315789473683,640.7514619883041,295.2163742690058,165.7280701754386,107.51169590643275
median,1065.0,585.0,261.0,132.5,78.5
variance,600579.8394121267,270085.689690845,71423.61984884238,24724.30324715297,10914.822962620978
stdev,774.9708635891589,519.697690672996,267.2519781944418,157.2396363743982,104.47403008700763
normalized stdev,0.706360912820226,0.8110753100122966,0.9052749152420576,0.9487809530874607,0.9717457175815662
