Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,1224.0303421745882,1224.0303421745882,1224.0303421745882,1224.0303421745882,1224.0303421745882
vector sum y,-1193.7542908617497,-1193.7542908617497,-1193.7542908617497,-1193.7542908617497,-1193.7542908617497
vector sum z,-35.74847643537746,-35.74847643537746,-35.74847643537746,-35.74847643537746,-35.74847643537746
vector sum norm,1710.1396256102391,1710.1396256102391,1710.1396256102391,1710.1396256102391,1710.1396256102391
total N,2389.0,2389.0,2389.0,2389.0,2389.0
mean,599.8187134502924,351.406432748538,162.31578947368422,91.3625730994152,59.198830409356724
median,414.0,130.5,3.0,0.0,0.0
variance,360997.34725214593,176793.90206388288,50131.28624192059,17962.04397934407,8017.439998632058
stdev,600.8305478686532,420.4686695389835,223.90017025880215,134.02255026428975,89.54015858056125
normalized stdev,1.0016869003845186,1.1965309406839046,1.3794109062636968,1.4669305572037092,1.5125325612245357
