Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,0.8286807330611495,0.8286807330611495,0.8286807330611495,0.8286807330611495,0.8286807330611495
vector sum y,-1.4745390704450934,-1.4745390704450934,-1.4745390704450934,-1.4745390704450934,-1.4745390704450934
vector sum z,-66.45916783296987,-66.45916783296987,-66.45916783296987,-66.45916783296987,-66.45916783296987
vector sum norm,66.4806886718126,66.4806886718126,66.4806886718126,66.4806886718126,66.4806886718126
total N,9389.0,9389.0,9389.0,9389.0,9389.0
mean,2352.33918128655,1374.9093567251462,633.812865497076,355.5906432748538,231.50584795321637
median,2366.0,1383.0,635.0,356.5,233.0
variance,814.2416812010534,595.9245323347354,208.43866488834172,81.52833350432611,41.30259738039055
stdev,28.534920381894416,24.41156554452695,14.437405060755957,9.029304153938227,6.426709685398163
normalized stdev,0.012130444711756234,0.01775503630484565,0.022778655730557366,0.025392412102809542,0.027760463686847765
