Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,39.11286295839113,39.11286295839113,39.11286295839113,39.11286295839113,39.11286295839113
vector sum y,-28.51789085504178,-28.51789085504178,-28.51789085504178,-28.51789085504178,-28.51789085504178
vector sum z,-11.72303089161079,-11.72303089161079,-11.72303089161079,-11.72303089161079,-11.72303089161079
vector sum norm,49.80477488060379,49.80477488060379,49.80477488060379,49.80477488060379,49.80477488060379
total N,4389.0,4389.0,4389.0,4389.0,4389.0
mean,1100.3040935672514,642.9561403508771,296.5204678362573,166.24561403508773,108.22514619883042
median,1098.5,643.0,295.0,167.0,109.0
variance,564.6794569269176,397.41035703293323,170.36069217879003,99.99815327793168,60.02825655757327
stdev,23.762985017184135,19.935153800082237,13.052229394965062,9.999907663470282,7.747790430669461
normalized stdev,0.02159674326044096,0.031005464523914693,0.0440179711377384,0.06015140743117413,0.0715895584602425
