Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-35.72591632673453,-35.72591632673453,-35.72591632673453,-35.72591632673453,-35.72591632673453
vector sum y,-1.0905314418003145,-1.0905314418003145,-1.0905314418003145,-1.0905314418003145,-1.0905314418003145
vector sum z,-55.81721934050036,-55.81721934050036,-55.81721934050036,-55.81721934050036,-55.81721934050036
vector sum norm,66.28040684181049,66.28040684181049,66.28040684181049,66.28040684181049,66.28040684181049
total N,6389.0,6389.0,6389.0,6389.0,6389.0
mean,1600.6608187134502,935.6754385964912,431.2134502923977,241.953216374269,157.41228070175438
median,1602.0,937.0,431.0,242.0,157.0
variance,741.37618412503,473.64612188365646,203.90473137033618,98.11477035669095,57.07856263465681
stdev,27.228224035456847,21.76341245953071,14.27952139850409,9.905290018807674,7.555035581296544
normalized stdev,0.017010614439442486,0.023259574379953508,0.03311474024945515,0.040938864823708426,0.047995210714282865
