Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-1121.568401657998,-1121.568401657998,-1121.568401657998,-1121.568401657998,-1121.568401657998
vector sum y,-1333.1229716109003,-1333.1229716109003,-1333.1229716109003,-1333.1229716109003,-1333.1229716109003
vector sum z,-49.437330923901506,-49.437330923901506,-49.437330923901506,-49.437330923901506,-49.437330923901506
vector sum norm,1742.8644774402953,1742.8644774402953,1742.8644774402953,1742.8644774402953,1742.8644774402953
total N,6889.0,6889.0,6889.0,6889.0,6889.0
mean,1726.687134502924,1009.5964912280701,465.6578947368421,261.3099415204678,169.91228070175438
median,1917.0,1202.5,619.0,348.5,226.0
variance,373957.78808009304,182885.08864265928,51956.23091720529,18550.038439177868,8327.618036318867
stdev,611.5208811480545,427.6506619223911,227.9390947538515,136.1985258333506,91.25578357736492
normalized stdev,0.35415847429945563,0.4235857252259248,0.48949904496447344,0.5212144820853764,0.5370758558502634
