Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-1106.7082457107654,-1106.7082457107654,-1106.7082457107654,-1106.7082457107654,-1106.7082457107654
vector sum y,-938.629125148497,-938.629125148497,-938.629125148497,-938.629125148497,-938.629125148497
vector sum z,-51.8280613810579,-51.8280613810579,-51.8280613810579,-51.8280613810579,-51.8280613810579
vector sum norm,1452.072285958158,1452.072285958158,1452.072285958158,1452.072285958158,1452.072285958158
total N,7389.0,7389.0,7389.0,7389.0,7389.0
mean,1851.9181286549708,1082.8801169590643,499.44152046783626,280.2573099415205,182.39766081871346
median,2033.5,1278.5,626.0,351.0,228.0
variance,268875.2038233986,137157.81311343663,41214.72611230807,15103.787592763585,6848.344789849868
stdev,518.5317770623114,370.34823222669314,203.0141032349922,122.89746780452226,82.75472669189276
normalized stdev,0.27999713866342235,0.3420029848425902,0.40648223048180915,0.43851654691956654,0.45370497801582754
