Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,3.2618797931409813,3.2618797931409813,3.2618797931409813,3.2618797931409813,3.2618797931409813
vector sum y,11.443528246598103,11.443528246598103,11.443528246598103,11.443528246598103,11.443528246598103
vector sum z,-12.188307122857042,-12.188307122857042,-12.188307122857042,-12.188307122857042,-12.188307122857042
vector sum norm,17.033761447099046,17.033761447099046,17.033761447099046,17.033761447099046,17.033761447099046
total N,6889.0,6889.0,6889.0,6889.0,6889.0
mean,1727.3567251461989,1009.985380116959,465.4356725146199,261.3859649122807,170.06432748538012
median,1733.0,1016.0,467.0,262.0,170.0
variance,676.3113436612974,727.9968622824118,310.6844584658527,146.0030778701139,80.63328887520946
stdev,26.005986688862574,26.981416980625976,17.626243458713848,12.083173336094864,8.97960404891048
normalized stdev,0.015055365409053823,0.02671466093647955,0.03787041797523628,0.04622732264966825,0.052801220465723046
