run_number,total_N,vector_sum_norm,pio3_stdev,pio4_stdev,pio6_stdev,pio8_stdev,pio3_stdev_n,pio4_stdev_n,pio6_stdev_n,pio8_stdev_n
----------filler,36675,2529.73239059421,911.47935030511,652.611461396584,377.502802402793,248.518714421128,0.0992053216360189,0.121690481078036,0.152663456374978,0.179386661739185
364600,7335,505.946478118839,182.295870061022,130.522292279317,75.5005604805586,49.7037428842256,0.0992053216360189,0.121690481078036,0.152663456374978,0.179386661739185
365059,7398,471.565702575907,170.868955040167,123.422588800774,72.3503464344508,48.1779525544855,0.0921953338830039,0.114096685993028,0.145066327882453,0.17242062507727
365060,7394,470.420193233062,170.506757415674,123.156099796431,72.2131131054996,48.1010409615221,0.0920514597578487,0.113915611778969,0.144872705249986,0.172248112756825
365061,7396,472.130601714642,170.947707935891,123.401682381546,72.3157897692503,48.1532741172861,0.0922640277910028,0.114110362864884,0.145037855167889,0.172384618384347
365062,7397,471.002950655577,170.770158252221,123.363810775981,72.3189449279553,48.1633053874191,0.0921577290787441,0.114065473534279,0.145030574979979,0.172406092070392
365063,7398,471.92036353492,171.007247465566,123.476801334649,72.3757322197356,48.195304355542,0.0922731546912032,0.114154207705376,0.145125736074611,0.172502580711823
365066,7393,473.054643480817,171.143367047637,123.42498514775,72.1743054341266,48.0238988416904,0.09241119260959,0.114187175845706,0.144817786621401,0.171998883693142
365067,7395,470.116650950146,170.394116646848,123.077459287135,72.148023537488,48.0559597689364,0.0919787424447287,0.113829633641711,0.144724295575333,0.172065059004955
365068,7394,471.716023408831,170.82128317196,123.313324722718,72.2328295001937,48.0981813418237,0.0922219906276751,0.114062273975544,0.144912259941846,0.172230659088711
365069,7396,471.603384829217,170.800960656384,123.293842096525,72.2373583116348,48.1012978888197,0.0921864255416765,0.114014649807782,0.144883100567559,0.172203955594853
365070,7396,470.395916267349,170.501317165867,123.195193532252,72.2121770129036,48.0883081436326,0.0920246989201082,0.113923425612654,0.144832595611097,0.172153847769568
365071,7395,472.131366772681,170.985200609092,123.428310474873,72.2985850646195,48.1319207073479,0.0922979552412129,0.114152578983766,0.14502376048904,0.172333429808865
365072,7397,472.965572086312,171.225209612646,123.544240162723,72.3431190336443,48.1637387847957,0.0924030102290781,0.114231685692564,0.145079054454496,0.172405838944131
365073,7396,471.825945168666,170.935755167206,123.431858091315,72.3090775056389,48.1369270175201,0.0922581590153418,0.11413950099699,0.145024392930657,0.172327901017375
365074,7395,472.131366772681,170.985200609092,123.428310474873,72.2985850646195,48.1319207073479,0.0922979552412129,0.114152578983766,0.14502376048904,0.172333429808865
365075,7396,471.603384829217,170.800960656384,123.293842096525,72.2373583116348,48.1012978888197,0.0921864255416765,0.114014649807782,0.144883100567559,0.172203955594853
365078,7398,472.436792085695,171.040787614144,123.409620711332,72.2818306465715,48.1330912701765,0.0922913981048774,0.114093641368589,0.144938297125479,0.172276299168005
365079,7400,473.37467964369,171.398344722997,123.74550611577,72.4461150666437,48.2153870399927,0.0924582196686499,0.114367689948447,0.145220036765987,0.17249863868356
365080,7396,471.45116113116,170.755145021504,123.254622744846,72.1952532097954,48.0789632837567,0.0921622792495407,0.113979614900731,0.144799501502783,0.172116790284556
365081,7396,473.985647334732,171.551970442297,123.775157554243,72.4280453769246,48.1835141716148,0.0925933755517976,0.114459741082624,0.145267256556031,0.172491069636907
