r,Phi,Theta
1,-0.425253091912981,1.1987528511581
1,-0.207621521435203,1.20118247471212
1,0.02693903896738,1.21104204384425
1,0.207750056358706,1.25234564426264
1,0.416744706976699,1.26236196330149
1,3.13129256642859,1.21764121491679
1,2.94380400301137,1.25447744299391
1,2.72110941054683,1.25952478999001
1,2.54352744123375,1.20500717243587
1,2.30758748165211,1.19358010423663
1,2.09539513293721,1.20478772256648
1,1.86461224528636,1.22638785971127
1,1.68176347910779,1.26449376203276
1,1.45555768873291,1.27620298006408
1,1.2839635658562,1.21917736400256
1,0.60213282164399,1.21406731704378
1,0.832947059276177,1.20680979636305
1,1.05006135506181,1.20433314783701
1,-3.04700500659187,1.37752611976218
1,-2.61710271244584,1.38323181636646
1,-2.19477143879395,1.39704148314772
1,-1.7850115076603,1.38606898967793
1,-1.36208458436291,1.37829419430506
1,-0.931492590627351,1.38823213839055
1,-0.527720505930068,1.39219791103034
1,-0.0898866665044489,1.38487769038693
1,0.312944918752567,1.38599061472458
1,0.726639272544666,1.39172766131021
1,1.16307803780056,1.37486137134809
1,1.57600431704977,1.39652420845557
1,1.99676809163454,1.38326316634781
1,2.41712431646187,1.38961153756961
1,2.83063057036591,1.38349829120787
1,3.13229576583155,1.5633844841496
1,2.94135870446668,1.57119062950382
1,2.73107870461366,1.57126900445717
1,2.51499895821232,1.55923061162176
1,2.30744640673607,1.57365160303918
1,2.09954900546505,1.55924628661243
1,1.88814040628371,1.57083010471838
1,1.67782905644934,1.56977988034342
1,1.46997868015034,1.56896478082852
1,1.25907168067047,1.5699523052408
1,1.05503032710455,1.57377700296455
1,0.846505926206692,1.57650445134133
1,0.620880110486645,1.57106522957845
1,0.428532299961378,1.56760105664013
1,0.210649929632862,1.56880803092181
1,0.000307229817154031,1.57785250053904
1,-0.2113678442056,1.56758538164946
1,-0.410158075896696,1.56760105664013
1,-0.622914724275757,1.5693566555953
1,-0.825780453541343,1.56796158142557
1,-1.04922744555811,1.57101820460644
1,-1.25604327247281,1.57239760378549
1,-1.46386229879047,1.57083010471838
1,-1.67075650065854,1.56749133170543
1,-1.88650707225578,1.57166087922395
1,-2.09482769827491,1.57385537791791
1,-2.31122094448967,1.57531315205032
1,-2.51593632265445,1.57404347780596
1,-2.7164351283287,1.57702172603347
1,-2.92632325341495,1.57639472640663
1,-2.82896588635664,1.7563122693297
1,-2.41174465966354,1.7606542417456
1,-1.97568209418376,1.75123357235226
1,-1.56027916640851,1.75322429616749
1,-1.1429011898087,1.76352276503841
1,-0.719253216940437,1.76480811427345
1,-0.310355410293699,1.74924284853703
1,0.102586543946187,1.75742519366735
1,0.544809380759719,1.75922781759453
1,0.953910962285181,1.74885097377025
1,1.368953365275,1.74162480307086
1,1.78216179435629,1.76491783920814
1,2.20646811683274,1.74424252651294
1,2.61798364692155,1.7541961455891
1,3.06106860822199,1.74460305129838
