r,Phi,Theta
1,-2.82078354122632,2.02620326944796
1,-2.83178738467744,2.38823300343392
1,-2.82684976261604,2.78339951825276
1,-1.55679931847952,2.78059369492263
1,-0.306264237728538,2.77252107472701
1,0.945493492294792,2.78711449104182
1,2.21786383505064,2.78518646718927
1,-2.19293746488543,2.49021449274021
1,-2.43050762349687,2.10581669651242
1,-2.61649138780966,1.73610636654347
1,-3.02604754406459,1.73734469080649
1,-2.82749243723356,1.37432758185411
1,-3.05974877400749,1.0257628143005
1,-2.81984304178605,0.641145568203321
1,-2.58664620557186,1.02189109160473
1,-2.19310988978281,1.09410577362657
1,-2.19342338959623,0.740963908796989
1,-2.19232614024926,0.355594263147596
1,-1.79529430154055,1.01678104464595
1,-2.39878144237853,1.39846706748763
1,-2.19053919131275,1.76228360096424
1,-1.96574415009827,2.10617722129786
1,-1.5654362383393,2.38329538137252
1,-1.57133003483164,2.038586661524
1,-1.77102941598167,1.7364198663569
1,-1.9866232376722,1.40017564147078
1,-1.56786586189333,1.38048785318786
1,-1.33493550052054,1.02347426566252
1,-1.56515408850722,0.657024333753162
1,-0.933373589507885,0.3597167856941
1,-0.930254266364333,0.749193278899325
1,-0.93302873971312,1.09079835059496
1,-1.3601408855197,1.73673336617032
1,-1.16608450101128,2.10218009867672
1,-0.932339040123591,2.48222024749794
1,-0.309822460610881,2.37603786069179
1,0.327021060375229,2.48562172047357
1,0.95038408938418,2.38525475520641
1,1.57636484183521,2.48555902051088
1,2.20490061776563,2.38478450548628
1,2.83218239444235,2.48604494522169
1,-0.69934597878812,2.1120710177902
1,-0.309320860909406,2.03706618742891
1,0.94463136780788,2.03121941590858
1,0.0864726535362799,2.1081052451504
1,0.556158074005607,2.11172616799543
1,1.3467575784847,2.1120710177902
1,1.80869955356249,2.11906206362951
1,2.21124898898743,2.03176804058207
1,2.59929905804158,2.11272936739838
1,3.07754302341734,2.11470441622294
1,-0.935254588388419,1.74881878397775
1,-0.514177313990223,1.72474199830692
1,-0.0999029855432925,1.74011916415528
1,0.321628863584365,1.75529255512492
1,0.736969091396932,1.73452319248569
1,1.16031923944244,1.73372376796146
1,1.57418601813192,1.75289428155224
1,1.99631351690508,1.73540099196327
1,2.41300179391536,1.72602734754195
1,2.82606914808062,1.75019818315681
1,-1.14086344102145,1.39805951773018
1,-0.721855265391842,1.3972914431873
1,-0.31513628244839,1.37912412899947
1,-0.538755699362533,1.03217388548499
1,-0.306420987635249,0.64296386712117
1,-0.0751992002456134,1.02247106625957
1,0.120267933423206,1.39794979279548
1,0.31818036563672,1.11225741282372
1,0.525889667019681,1.40509758854151
1,0.314841592623772,0.746842030298657
1,0.321487788668326,0.36014001044222
1,0.953111537760954,0.655550884630076
1,0.715478679186832,1.02740868832097
1,1.18416090025321,1.03135878597009
1,0.955070911594843,1.37489188151827
1,1.36831069065748,1.39846706748763
1,1.57490706770279,1.10885593984809
1,1.78631566688414,1.40407871414789
