Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,23.460017704282944,23.460017704282944,23.460017704282944,23.460017704282944,23.460017704282944
vector sum y,-471.55117986830277,-471.55117986830277,-471.55117986830277,-471.55117986830277,-471.55117986830277
vector sum z,-46.98784264183589,-46.98784264183589,-46.98784264183589,-46.98784264183589,-46.98784264183589
vector sum norm,474.46680075850156,474.46680075850156,474.46680075850156,474.46680075850156,474.46680075850156
total N,7695.0,7695.0,7695.0,7695.0,7695.0
mean,1930.8333333333333,1127.3391812865498,519.7485380116959,291.6578947368421,190.2251461988304
median,1979.0,1171.0,540.0,305.0,199.0
variance,32959.600877192985,18870.38788003146,6971.188228856742,3108.04378270237,1555.817730241784
stdev,181.5477922674715,137.3695303916828,83.49364184689,55.749832131607086,39.443855418072204
normalized stdev,0.09402561533058515,0.12185288391636756,0.1606423794212022,0.19114803040702602,0.20735352925866077
