Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,737.4164722023085,737.4164722023085,737.4164722023085,737.4164722023085,737.4164722023085
vector sum y,-1203.4153207671611,-1203.4153207671611,-1203.4153207671611,-1203.4153207671611,-1203.4153207671611
vector sum z,-144.30742698231475,-144.30742698231475,-144.30742698231475,-144.30742698231475,-144.30742698231475
vector sum norm,1418.7375096242022,1418.7375096242022,1418.7375096242022,1418.7375096242022,1418.7375096242022
total N,5569.0,5569.0,5569.0,5569.0,5569.0
mean,1398.0584795321638,818.1666666666666,378.27485380116957,212.85380116959064,138.63742690058479
median,1353.5,747.0,398.5,244.5,167.5
variance,236337.04336377003,116893.90497076024,37727.64960158681,14642.82657911836,6798.172634314833
stdev,486.14508468539515,341.8975065290185,194.23606668584188,121.00754761219798,82.45103173590269
normalized stdev,0.34772871936521227,0.41788246876637014,0.5134786643468959,0.5685007594287009,0.594724192299294
