Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,517.8484977898314,517.8484977898314,517.8484977898314,517.8484977898314,517.8484977898314
vector sum y,-560.6951461660944,-560.6951461660944,-560.6951461660944,-560.6951461660944,-560.6951461660944
vector sum z,-60.63409503193993,-60.63409503193993,-60.63409503193993,-60.63409503193993,-60.63409503193993
vector sum norm,765.6517531343773,765.6517531343773,765.6517531343773,765.6517531343773,765.6517531343773
total N,7505.0,7505.0,7505.0,7505.0,7505.0
mean,1878.6491228070176,1095.9473684210527,504.1432748538012,282.41812865497076,183.58187134502924
median,1968.5,1166.0,544.0,306.0,198.0
variance,77644.3973530317,41608.94459833795,14096.228010327966,5813.266688895729,2839.6000222290613
stdev,278.64744275344015,203.98270661587455,118.72753686625511,76.24478138794635,53.28789752119201
normalized stdev,0.1483233028300112,0.18612454620859703,0.23550356176165485,0.26997127185519426,0.290267754276462
