Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-4.7758821405089735,-4.7758821405089735,-4.7758821405089735,-4.7758821405089735,-4.7758821405089735
vector sum y,-327.3106786885444,-327.3106786885444,-327.3106786885444,-327.3106786885444,-327.3106786885444
vector sum z,-15.605965411823076,-15.605965411823076,-15.605965411823076,-15.605965411823076,-15.605965411823076
vector sum norm,327.7173104829993,327.7173104829993,327.7173104829993,327.7173104829993,327.7173104829993
total N,7773.0,7773.0,7773.0,7773.0,7773.0
mean,1949.4415204678362,1137.6198830409357,524.7105263157895,294.3391812865497,192.16666666666666
median,1966.0,1150.0,528.0,300.0,198.0
variance,16794.46880236654,10503.40521869977,4147.8898891966755,1926.5691665811703,984.5073099415205
stdev,129.59347515352206,102.48612207855155,64.4041139151582,43.89270060706188,31.376859465878997
normalized stdev,0.06647723144955978,0.09008819519275554,0.1227421800880692,0.14912286028386676,0.16327940745470423
