Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-47.6211569009479,-47.6211569009479,-47.6211569009479,-47.6211569009479,-47.6211569009479
vector sum y,-182.14121784060762,-182.14121784060762,-182.14121784060762,-182.14121784060762,-182.14121784060762
vector sum z,-107.36562710485505,-107.36562710485505,-107.36562710485505,-107.36562710485505,-107.36562710485505
vector sum norm,216.7269611854122,216.7269611854122,216.7269611854122,216.7269611854122,216.7269611854122
total N,8757.0,8757.0,8757.0,8757.0,8757.0
mean,2194.0497076023394,1281.6783625730993,590.6578947368421,331.41520467836256,215.71637426900585
median,2204.5,1302.0,595.0,333.0,217.5
variance,5932.69051161041,3034.82637392702,1014.8098645737151,455.2194179405629,241.34938100612155
stdev,77.02396063310695,55.08925824448011,31.856080496095483,21.335871623642728,15.53542342538888
normalized stdev,0.035105841205976526,0.042982123950257564,0.05393321714643032,0.06437807113994401,0.07201782191098606
