Metric,alpha = pi/3,alpha = pi/4,alpha = pi/6,alpha = pi/8,alpha = pi/10
vector sum x,-384.5518547026108,-384.5518547026108,-384.5518547026108,-384.5518547026108,-384.5518547026108
vector sum y,-850.9653722409956,-850.9653722409956,-850.9653722409956,-850.9653722409956,-850.9653722409956
vector sum z,-179.99872858107503,-179.99872858107503,-179.99872858107503,-179.99872858107503,-179.99872858107503
vector sum norm,951.0109021453317,951.0109021453317,951.0109021453317,951.0109021453317,951.0109021453317
total N,7388.0,7388.0,7388.0,7388.0,7388.0
mean,1855.4883040935672,1085.9736842105262,501.4298245614035,281.6929824561403,183.29239766081872
median,1954.0,1203.5,566.0,316.5,206.0
variance,119041.02179303033,62481.22445367806,20365.73045552478,8110.031471221915,3844.9846790465444
stdev,345.0232192085488,249.96244608676332,142.7085507442521,90.05571315148148,62.00794045157882
normalized stdev,0.18594739640630484,0.23017357576991318,0.2846032360940598,0.31969455669881014,0.33830066736496117
