Phi,Theta
-2.82078354122632,2.0262032694479593
-2.8317873846774435,2.388233003433923
-2.8268497626160416,2.7833995182527635
-1.55679931847952,2.7805936949226338
-0.30626423772853784,2.772521074727009
0.9454934922947915,2.787114491041818
2.2178638350506388,2.7851864671892708
-2.1929374648854303,2.4902144927402055
-2.430507623496868,2.105816696512422
-2.6164913878096616,1.7361063665434742
-3.026047544064587,1.7373446908064927
-2.8274924372335573,1.3743275818541116
-3.059748774007487,1.0257628143004998
-2.819843041786053,0.6411455682033206
-2.5866462055718564,1.0218910916047341
-2.1931098897828125,1.0941057736265667
-2.1934233895962345,0.7409639087969889
-2.1923261402492566,0.35559426314759623
-1.7952943015405536,1.01678104464595
-2.3987814423785285,1.3984670674876307
-2.1905391913127494,1.7622836009642384
-1.9657441500982715,2.1061772212978576
-1.5654362383393048,2.3832953813725215
-1.5713300348316448,2.0385866615240045
-1.7710294159816655,1.7364198663568966
-1.9866232376721982,1.4001756414707822
-1.567865861893328,1.3804878531878604
-1.3349355005205408,1.0234742656625166
-1.5651540885072248,0.6570243337531615
-0.9333735895078847,0.3597167856940998
-0.930254266364333,0.7491932788993249
-0.9330287397131203,1.090798350594961
-1.3601408855196957,1.736733366170319
-1.1660845010112766,2.102180098676723
-0.9323390401235914,2.4822202474979362
-0.3098224606108815,2.376037860691795
0.3270210603752295,2.4856217204735684
0.9503840893841797,2.385254755206411
1.5763648418352068,2.485559020510884
2.2049006177656256,2.3847845054862775
2.8321823944423548,2.4860449452216886
-0.6993459787881195,2.112071017790197
-0.3093208609094056,2.037066187428906
0.9446313678078804,2.0312194159085797
0.08647265353627986,2.108105245150405
0.5561580740056069,2.1117261679954327
1.346757578484696,2.112071017790197
1.8086995535624917,2.119062063629515
2.2112489889874274,2.031768040582069
2.5992990580415816,2.112729367398384
3.0775430234173378,2.1147044162229447
-0.9352545883884189,1.7488187839777498
-0.5141773139902233,1.7247419983069152
-0.09990298554329247,1.74011916415528
0.3216288635843654,1.7552925551249206
0.736969091396932,1.7345231924856916
1.1603192394424395,1.7337237679614645
1.5741860181319218,1.7528942815522397
1.996313516905082,1.735400991963274
2.413001793915365,1.7260273475419465
2.82606914808062,1.7501981831568076
-1.1408634410214504,1.3980595177301818
-0.7218552653918424,1.3972914431872967
-0.31513628244838987,1.3791241289994733
-0.5387556993625333,1.0321738854849865
-0.3064209876352493,0.64296386712117
-0.07519920024561344,1.0224710662595653
0.12026793342320641,1.3979497927954836
0.3181803656367199,1.1122574128237193
0.5258896670196807,1.405097588541513
0.31484159262377176,0.7468420302986575
0.3214877886683256,0.36014001044222
0.9531115377609538,0.6555508846300765
0.7154786791868322,1.0274086883209668
1.1841609002532074,1.0313587859700881
0.9550709115948433,1.3748918815182716
1.3683106906574807,1.3984670674876307
1.5749070677027932,1.108855939848087
1.7863156668841373,1.4040787141478903
0.010809473566801842,0.024036860472145594
0.009680874238481074,3.135225584907557
1.577211291331447,0.3570842270725094
1.571693694615214,0.7476109446526993
1.970747607120491,1.0208417070409264
2.209838239827027,1.3778709695569409
2.627639441174959,1.3901288122617539
3.0416943197524944,1.4069637522425327
2.4455744245299442,1.0181612836361655
2.8357876422967117,1.1010036093330149
2.8348628178471156,0.7463726203896812
2.204195243185425,0.6451121806542703
2.8334834186680578,0.35460757854647307
-2.486483015183424,2.6943664110519805
-1.9029031124977664,2.6895228389346055
-1.1851609646580252,2.6738321732728183
-0.6942045818479934,2.664850403618268
0.07816490848058777,2.674474847890334
0.5666603177552547,2.6542227599432513
1.2715959982166938,2.693347536658358
1.8728259403980285,2.6855413913041417
2.5866336655793196,2.6761677468828147
3.0824492954973968,2.66950587584759
-2.8279156619816774,2.59986189229582
-1.573273733674863,2.5924632966990533
-0.31775400589046576,2.5875413496283235
0.9374835720618515,2.5895790984155687
2.1974549971968456,2.5860052005425533
-2.507550202645404,2.471562093652734
-1.8690608076388266,2.45872427629309
-1.2524536996091271,2.4680508957424037
-0.5874578953776917,2.464853197645496
0.0028936032778874576,2.4497581816292113
0.6566504391981329,2.456858952403227
1.2510617604375316,2.458285376554299
1.927171133054788,2.4632073236250296
2.507835487475618,2.459398300891948
-3.1251134851060414,2.4625176240355
-3.0083348046062257,2.2659062160476893
-2.8233072147243696,2.237236658110217
-2.6028384709351196,2.2641035921205104
-2.336003104740708,2.312602013256944
-2.0592141194701377,2.306143917100444
-1.7699948665973717,2.2628339178761507
-1.5693393110164129,2.2409516308992723
-1.3659563070586795,2.252645173939925
-1.0854366740083834,2.3078524910835965
-0.8073153145307681,2.3111599141152013
-0.5198359856224961,2.257096871290522
-0.32239380312911603,2.2332395354890826
-0.09709716221316267,2.252331674126502
0.1729515770688277,2.302601369208772
0.44607261452235747,2.3110972141525172
0.735229167432438,2.255498022242068
0.9325929749724633,2.216451620480317
1.1608051641532446,2.249855025600466
1.4215586339672628,2.3058617672683646
1.7126118607485488,2.3116928637980196
2.006690360729361,2.251077674872813
2.1922979252660477,2.2198374184652785
2.4162465169842857,2.2542283479977074
2.6783166860146785,2.2889954773062433
2.979213806937425,2.285092404629135
-3.0390891363029557,2.0554067663252695
-2.601835271532168,2.088998393794336
-2.19925448612589,2.1208813248193863
-1.7639756701796632,2.0820857229083733
-1.3730727528233664,2.076646501145496
-0.9371512622596239,2.134440191749902
-0.5098823665463375,2.088136269307425
-0.10078078502087529,2.0939360158557374
0.3175690410005467,2.129972819408634
0.7568449795679077,2.0939987158184223
1.1479203218215863,2.0807690236919996
1.5672576722552884,2.126226496638237
2.015437005523844,2.084389946537028
2.4020293004455837,2.07558060177986
2.8252540485657214,2.1214299494928754
-3.1181381142573947,1.919457572234678
-2.9341607487505037,1.883891018401915
-2.713723354942596,1.8857093173197648
-2.541486557448371,1.9370449117676702
-2.307835146504712,1.9358379374859946
-2.0823817556820474,1.935790912513981
-1.8492789694118779,1.9352736378218343
-1.6821365438857652,1.8933587127672695
-1.462138049816649,1.8903804645397575
-1.2816405322387454,1.9367314119542482
-1.0567357660895698,1.9453056318513486
-0.8222849306216844,1.948142805162821
-0.6057035845188712,1.932028914752913
-0.4205505947116466,1.890223714633046
-0.20664967201359374,1.8940640873474697
-0.027092653875957495,1.9392550854522976
0.20174653493166872,1.9432522080734327
0.433814771817544,1.9425938584652458
0.6655381589086558,1.9336591137827093
0.8289656116457138,1.8844553180660755
1.0529455533452934,1.8879821909670766
1.2402773668558034,1.9311197652939887
1.466483157230682,1.932279714603651
1.6894598995273107,1.9428603333066545
1.918424488260305,1.9362454872434436
2.1029975034126993,1.8934684377019673
2.3059572826223116,1.8881389408737876
2.4908124476067854,1.9269815677568138
2.7160777385413972,1.9350228379710963
2.938192356351114,1.950838903558253
-2.5299967892864426,0.46274933918650407
-3.1007075246311135,0.4547237439628924
-1.835437952649282,0.469489585175084
-1.261921393974481,0.45232547039021176
-0.577786426133613,0.478518379801647
-0.017389834650536784,0.45829764183590704
0.7084876333475139,0.4779070551654734
1.2333646959698417,0.46251421432643713
1.9356669779985332,0.4639406384775089
2.5128358094997036,0.456965267628862
-2.1961978629450223,0.5548085593979697
-0.9342670639761383,0.5466732392396603
0.3111736448067308,0.564166528828626
1.5722736692700456,0.5644800286420484
2.833828268462822,0.5744649976995493
3.1351172641523473,0.6889864795427245
2.5737801732290038,0.6948175760723798
1.857652549428388,0.6738601135450974
1.3179312706405133,0.6910555783113119
0.5980886740508424,0.6826224333302515
0.05052989992740997,0.6807727844310596
-0.6730433444419863,0.68133708409522
-1.1905845114302314,0.6828889081716605
-1.9002070141023344,0.6851774568096434
